Sentence,Sequence
"[u'But', u'the', u'staff', u'was', u'so', u'horrible', u'to', u'us', u'.']","[5, 5, 1, 5, 5, 3, 5, 5, 5]"
"[u'To', u'be', u'completely', u'fair', u',', u'the', u'only', u'redeeming', u'factor', u'was', u'the', u'food', u',', u'which', u'was', u'above', u'average', u',', u'but', u'could', u""n't"", u'make', u'up', u'for', u'all', u'the', u'other', u'deficiencies', u'of', u'Teodora', u'.']","[5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 1, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'The', u'food', u'is', u'uniformly', u'exceptional', u',', u'with', u'a', u'very', u'capable', u'kitchen', u'which', u'will', u'proudly', u'whip', u'up', u'whatever', u'you', u'feel', u'like', u'eating', u',', u'whether', u'it', u""'s"", u'on', u'the', u'menu', u'or', u'not', u'.']","[5, 1, 5, 5, 3, 5, 5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5]"
"[u'Where', u'Gabriela', u'personaly', u'greets', u'you', u'and', u'recommends', u'you', u'what', u'to', u'eat', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'For', u'those', u'that', u'go', u'once', u'and', u'do', u""n't"", u'enjoy', u'it', u',', u'all', u'I', u'can', u'say', u'is', u'that', u'they', u'just', u'do', u""n't"", u'get', u'it', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'Not', u'only', u'was', u'the', u'food', u'outstanding', u',', u'but', u'the', u'little', u""'"", u'perks', u""'"", u'were', u'great', u'.']","[5, 5, 5, 5, 1, 3, 5, 5, 5, 5, 5, 1, 5, 5, 3, 5]"
"[u'It', u'is', u'very', u'overpriced', u'and', u'not', u'very', u'tasty', u'.']","[5, 5, 5, 3, 5, 5, 5, 3, 5]"
"[u'Our', u'agreed', u'favorite', u'is', u'the', u'orrechiete', u'with', u'sausage', u'and', u'chicken', u'(', u'usually', u'the', u'waiters', u'are', u'kind', u'enough', u'to', u'split', u'the', u'dish', u'in', u'half', u'so', u'you', u'get', u'to', u'sample', u'both', u'meats', u')', u'.']","[5, 5, 3, 5, 5, 1, 2, 2, 2, 2, 5, 5, 5, 1, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5]"
"[u'The', u'Bagels', u'have', u'an', u'outstanding', u'taste', u'with', u'a', u'terrific', u'texture', u',', u'both', u'chewy', u'yet', u'not', u'gummy', u'.']","[5, 1, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 3, 5]"
"[u'Nevertheless', u'the', u'food', u'itself', u'is', u'pretty', u'good', u'.']","[5, 5, 1, 5, 5, 5, 3, 5]"
"[u'i', u""'ve"", u'noticed', u'megadeth', u',', u'mr', u'.', u'scruff', u',', u'st', u'.', u'germain', u',', u'traditional', u'vietnamese', u'songs', u',', u'black', u'sabbath', u',', u'jay', u'-', u'z', u',', u'and', u'daft', u'punk', u'all', u'being', u'played', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'They', u'did', u'not', u'have', u'mayonnaise', u',', u'forgot', u'our', u'toast', u',', u'left', u'out', u'ingredients', u'(', u'ie', u'cheese', u'in', u'an', u'omelet', u')', u',', u'below', u'hot', u'temperatures', u'and', u'the', u'bacon', u'was', u'so', u'over', u'cooked', u'it', u'crumbled', u'on', u'the', u'plate', u'when', u'you', u'touched', u'it', u'.']","[5, 5, 5, 5, 5, 5, 3, 5, 1, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'It', u'took', u'half', u'an', u'hour', u'to', u'get', u'our', u'check', u',', u'which', u'was', u'perfect', u'since', u'we', u'could', u'sit', u',', u'have', u'drinks', u'and', u'talk', u'!']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5]"
"[u'The', u'design', u'and', u'atmosphere', u'is', u'just', u'as', u'good', u'.']","[5, 1, 5, 1, 5, 5, 5, 3, 5]"
"[u'He', u'has', u'visited', u'Thailand', u'and', u'is', u'quite', u'expert', u'on', u'the', u'cuisine', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5]"
"[u'I', u'would', u'definitely', u'recommend', u'Mary', u""'s"", u'and', u'am', u'making', u'it', u'one', u'of', u'my', u'regular', u'neighborhood', u'haunts', u'.']","[5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'The', u'pizza', u'is', u'the', u'best', u'if', u'you', u'like', u'thin', u'crusted', u'pizza', u'.']","[5, 1, 5, 5, 3, 5, 5, 5, 1, 2, 2, 5]"
"[u'My', u'Girlfriend', u'and', u'I', u'stumbled', u'onto', u'this', u'hopping', u'place', u'the', u'other', u'night', u'and', u'had', u'a', u'great', u'time', u'!']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5]"
"[u'He', u'ca', u""n't"", u'help', u',', u'they', u""'re"", u'bought', u'up', u'so', u'fast', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
