ID,Sentence,Aspects,Aspect_Polarities,Opinions,Opinion_Polarities
3121,But the staff was so horrible to us.,staff,negative,horrible,-1
2777,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,positive,redeeming;above average,+1;+1
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food;kitchen;menu,positive;positive;neutral,exceptional;capable,+1;+1
2534,Where Gabriela personaly greets you and recommends you what to eat.,NIL,NIL,NIL,NIL
583,"For those that go once and don't enjoy it, all I can say is that they just don't get it.",NIL,NIL,enjoy,+1
2846,"Not only was the food outstanding, but the little 'perks' were great.",food;perks,positive;positive,outstanding;great,+1;+1
1571,It is very overpriced and not very tasty.,NIL,NIL,overpriced;tasty,-1;+1
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken;waiters;meats;dish,positive;positive;neutral;neutral,favorite;kind,+1;+1
3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Bagels,positive,outstanding;terrific;chewy;gummy,+1;+1;+1;-1
2391,Nevertheless the food itself is pretty good.,food,positive,good,+1
986,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.",songs,neutral,NIL,NIL
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast;mayonnaise;bacon;cheese;ingredients;plate;omelet,negative;negative;negative;neutral;negative;neutral;neutral,forgot;left out;over cooked,-1;-1;-1
1793,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks;check,neutral;neutral,perfect,+1
2200,The design and atmosphere is just as good.,design;atmosphere,positive;positive,good,+1
3195,He has visited Thailand and is quite expert on the cuisine.,cuisine,positive,NIL,NIL
3119,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,NIL,NIL,recommend,+1
3359,The pizza is the best if you like thin crusted pizza.,pizza;thin crusted pizza,positive;neutral,best,+1
70,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,NIL,NIL,great,+1
1829,"He can't help, they're bought up so fast.",NIL,NIL,fast,+1
2935,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.",NIL,NIL,NIL,NIL
1805,"i have eaten here a handful of times, for no reason besides sheer convenience.",NIL,NIL,NIL,NIL
2559,Obviously run by folks who know a pie.,NIL,NIL,NIL,NIL
716,We were very disappointed.,NIL,NIL,disappointed,-1
2464,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,NIL,NIL,special;affordable,+1;+1
385,I really liked this place.,NIL,NIL,liked,+1
1350,I will be going back very soon.,NIL,NIL,NIL,NIL
3534,"All the money went into the interior decoration, none of it went to the chefs.",interior decoration;chefs,positive;negative,NIL,NIL
1407,The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,negative,uncomfortable,-1
565,"I asked for seltzer with lime, no ice.",seltzer with lime,neutral,NIL,NIL
387,It was pretty inexpensive too.,NIL,NIL,inexpensive,+1
1314,Will not be back.,NIL,NIL,NIL,NIL
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles;selection of meats and seafoods,positive;positive,NIL,NIL
2227,My suggestion is to eat family style because you'll want to try the other dishes.,dishes;eat family style,neutral;positive,NIL,NIL
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe;owner;service,positive;positive;positive,best;warm;friendly;fast,+1;+1;+1;+1
1210,This isn't a value joint.,NIL,NIL,NIL,NIL
2191,Faan's got a great concept but a little rough on the delivery.,delivery,negative,great;rough,+1;-1
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food;atmosphere;service,positive;positive;positive,incredible;warm;friendly,+1;+1;+1
638,"Great food at REASONABLE prices, makes for an evening that can't be beat!",food;prices,positive;positive,great,+1
500,Look foward to trying the Ruben upon returning.,NIL,NIL,NIL,NIL
1108,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,NIL,NIL,NIL,NIL
3294,We usually go to the Chart House to celebrate a birthday or anniversary.,NIL,NIL,NIL,NIL
388,this little place has a cute interior decor and affordable city prices.,interior deco;prices,positive;positive,cute;affordable,+1;+1
3070,You'll adore it.,NIL,NIL,adore,+1
3373,Two words: Free wine.,wine,positive,free,+1
425,The price is reasonable although the service is poor.,price;service,positive;negative,reasonable;poor,+1;-1
3192,"The quantity is also very good, you will come out satisfied.",quantity,positive,good;satisfied,+1;+1
1098,I have been to Roth's twice and both times were very disappointing.,NIL,NIL,disappointing,-1
