Sentence,Sequence,Tags
"['i', 'charge|VERB', 'it', 'at', 'night|NOUN', 'and', 'skip|VERB', 'taking|VERB', 'the', 'cord|NOUN', 'with', 'me', 'because', 'of', 'the', 'good|ADJ', 'battery|NOUN', 'life|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 3, 1, 2, 5]","[('i', 'PRON', 'PRP', 'nsubj'), ('charge', 'VERB', 'VBP', 'ROOT'), ('it', 'PRON', 'PRP', 'dobj'), ('at', 'ADP', 'IN', 'prep'), ('night', 'NOUN', 'NN', 'pobj'), ('and', 'CCONJ', 'CC', 'cc'), ('skip', 'VERB', 'VB', 'conj'), ('taking', 'VERB', 'VBG', 'xcomp'), ('the', 'DET', 'DT', 'det'), ('cord', 'NOUN', 'NN', 'dobj'), ('with', 'ADP', 'IN', 'prep'), ('me', 'PRON', 'PRP', 'pobj'), ('because', 'ADP', 'IN', 'prep'), ('of', 'ADP', 'IN', 'pcomp'), ('the', 'DET', 'DT', 'det'), ('good', 'ADJ', 'JJ', 'amod'), ('battery', 'NOUN', 'NN', 'compound'), ('life', 'NOUN', 'NN', 'pobj'), (' <PERIOD> ', 'PUNCT', '.', 'punct')]"
"['i', 'bought|VERB', 'a', 'hp|ADJ', 'pavilion|NOUN', 'dv4', ' <HYPHEN> ', '1222nr', 'laptop|NOUN', 'and', 'have|VERB', 'had|VERB', 'so', 'many|ADJ', 'problems|NOUN', 'with', 'the', 'computer|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[('i', 'PRON', 'PRP', 'nsubj'), ('bought', 'VERB', 'VBD', 'ROOT'), ('a', 'DET', 'DT', 'det'), ('hp', 'ADJ', 'JJ', 'compound'), ('pavilion', 'NOUN', 'NN', 'compound'), ('dv4', 'PROPN', 'NNP', 'compound'), (' <HYPHEN> ', 'PUNCT', 'HYPH', 'punct'), ('1222nr', 'NUM', 'CD', 'compound'), ('laptop', 'NOUN', 'NN', 'dobj'), ('and', 'CCONJ', 'CC', 'cc'), ('have', 'VERB', 'VBP', 'aux'), ('had', 'VERB', 'VBN', 'conj'), ('so', 'ADV', 'RB', 'advmod'), ('many', 'ADJ', 'JJ', 'amod'), ('problems', 'NOUN', 'NNS', 'dobj'), ('with', 'ADP', 'IN', 'prep'), ('the', 'DET', 'DT', 'det'), ('computer', 'NOUN', 'NN', 'pobj'), (' <PERIOD> ', 'PUNCT', '.', 'punct')]"
"['the', 'tech|NOUN', 'guy|NOUN', 'then', 'said|VERB', 'the', 'service|NOUN', 'center|NOUN', 'does|VERB', 'not', 'do|VERB', '1-to-1', 'exchange|NOUN', 'and', 'i', 'have|VERB', 'to', 'direct|VERB', 'my|ADJ', 'concern|NOUN', 'to', 'the', ' <QUOTATION_MARK> ', 'sales|NOUN', ' <QUOTATION_MARK> ', 'team|NOUN', ' <COMMA> ', 'which|ADJ', 'is|VERB', 'the', 'retail|ADJ', 'shop|NOUN', 'which|ADJ', 'i', 'bought|VERB', 'my|ADJ', 'netbook|NOUN', 'from', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[('the', 'DET', 'DT', 'det'), ('tech', 'NOUN', 'NN', 'compound'), ('guy', 'NOUN', 'NN', 'nsubj'), ('then', 'ADV', 'RB', 'advmod'), ('said', 'VERB', 'VBD', 'ROOT'), ('the', 'DET', 'DT', 'det'), ('service', 'NOUN', 'NN', 'compound'), ('center', 'NOUN', 'NN', 'nsubj'), ('does', 'VERB', 'VBZ', 'aux'), ('not', 'ADV', 'RB', 'neg'), ('do', 'VERB', 'VB', 'ccomp'), ('1-to-1', 'NUM', 'CD', 'punct'), ('exchange', 'NOUN', 'NN', 'dobj'), ('and', 'CCONJ', 'CC', 'cc'), ('i', 'PRON', 'PRP', 'nsubj'), ('have', 'VERB', 'VBP', 'conj'), ('to', 'PART', 'TO', 'aux'), ('direct', 'VERB', 'VB', 'xcomp'), ('my', 'ADJ', 'PRP$', 'poss'), ('concern', 'NOUN', 'NN', 'dobj'), ('to', 'ADP', 'IN', 'prep'), ('the', 'DET', 'DT', 'det'), (' <QUOTATION_MARK> ', 'PUNCT', '``', 'punct'), ('sales', 'NOUN', 'NNS', 'nmod'), (' <QUOTATION_MARK> ', 'PUNCT', ""''"", 'punct'), ('team', 'NOUN', 'NN', 'pobj'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('which', 'ADJ', 'WDT', 'nsubj'), ('is', 'VERB', 'VBZ', 'relcl'), ('the', 'DET', 'DT', 'det'), ('retail', 'ADJ', 'JJ', 'amod'), ('shop', 'NOUN', 'NN', 'attr'), ('which', 'ADJ', 'WDT', 'pobj'), ('i', 'PRON', 'PRP', 'nsubj'), ('bought', 'VERB', 'VBD', 'relcl'), ('my', 'ADJ', 'PRP$', 'poss'), ('netbook', 'NOUN', 'NN', 'dobj'), ('from', 'ADP', 'IN', 'prep'), (' <PERIOD> ', 'PUNCT', '.', 'punct')]"
"['i', 'investigated|VERB', 'netbooks|NOUN', 'and', 'saw|VERB', 'the', 'toshiba|NOUN', 'nb305-n410bl|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5]","[('i', 'PRON', 'PRP', 'nsubj'), ('investigated', 'VERB', 'VBD', 'ROOT'), ('netbooks', 'NOUN', 'NNS', 'dobj'), ('and', 'CCONJ', 'CC', 'cc'), ('saw', 'VERB', 'VBD', 'conj'), ('the', 'DET', 'DT', 'det'), ('toshiba', 'NOUN', 'NN', 'compound'), ('nb305-n410bl', 'NOUN', 'NN', 'dobj'), (' <PERIOD> ', 'PUNCT', '.', 'punct')]"
"['the', 'other|ADJ', 'day|NOUN', 'i', 'had|VERB', 'a', 'presentation|NOUN', 'to', 'do|VERB', 'for', 'a', 'seminar|NOUN', 'at', 'a', 'large|ADJ', 'conference|NOUN', 'in', 'town-|NOUN', 'lots|NOUN', 'of', 'people|NOUN', ' <COMMA> ', 'little|ADJ', 'time|NOUN', 'to', 'prep|VERB', 'and', 'have|VERB', 'to', 'set|VERB', 'up', 'a', 'computer|NOUN', 'to', 'a', 'projector|NOUN', ' <COMMA> ', 'etc', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[('the', 'DET', 'DT', 'det'), ('other', 'ADJ', 'JJ', 'amod'), ('day', 'NOUN', 'NN', 'npadvmod'), ('i', 'PRON', 'PRP', 'nsubj'), ('had', 'VERB', 'VBD', 'ROOT'), ('a', 'DET', 'DT', 'det'), ('presentation', 'NOUN', 'NN', 'dobj'), ('to', 'PART', 'TO', 'aux'), ('do', 'VERB', 'VB', 'acl'), ('for', 'ADP', 'IN', 'prep'), ('a', 'DET', 'DT', 'det'), ('seminar', 'NOUN', 'NN', 'pobj'), ('at', 'ADP', 'IN', 'prep'), ('a', 'DET', 'DT', 'det'), ('large', 'ADJ', 'JJ', 'amod'), ('conference', 'NOUN', 'NN', 'pobj'), ('in', 'ADP', 'IN', 'prep'), ('town-', 'NOUN', 'NNS', 'compound'), ('lots', 'NOUN', 'NNS', 'pobj'), ('of', 'ADP', 'IN', 'prep'), ('people', 'NOUN', 'NNS', 'pobj'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('little', 'ADJ', 'JJ', 'amod'), ('time', 'NOUN', 'NN', 'npadvmod'), ('to', 'PART', 'TO', 'aux'), ('prep', 'VERB', 'VB', 'relcl'), ('and', 'CCONJ', 'CC', 'cc'), ('have', 'VERB', 'VB', 'conj'), ('to', 'PART', 'TO', 'aux'), ('set', 'VERB', 'VB', 'xcomp'), ('up', 'PART', 'RP', 'prt'), ('a', 'DET', 'DT', 'det'), ('computer', 'NOUN', 'NN', 'dobj'), ('to', 'ADP', 'IN', 'prep'), ('a', 'DET', 'DT', 'det'), ('projector', 'NOUN', 'NN', 'pobj'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('etc', 'X', 'FW', 'conj'), (' <PERIOD> ', 'PUNCT', '.', 'punct')]"
"['it', 'is|VERB', 'of', 'high|ADJ', 'quality|NOUN', ' <COMMA> ', 'has|VERB', 'a', 'killer|NOUN', 'gui|NOUN', ' <COMMA> ', 'is|VERB', 'extremely', 'stable|ADJ', ' <COMMA> ', 'is|VERB', 'highly', 'expandable|ADJ', ' <COMMA> ', 'is|VERB', 'bundled|VERB', 'with', 'lots|NOUN', 'of', 'very', 'good|ADJ', 'applications|NOUN', ' <COMMA> ', 'is|VERB', 'easy|ADJ', 'to', 'use|VERB', ' <COMMA> ', 'and', 'is|VERB', 'absolutely', 'gorgeous|ADJ', ' <PERIOD> ']","[5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5]","[('it', 'PRON', 'PRP', 'nsubj'), ('is', 'VERB', 'VBZ', 'ccomp'), ('of', 'ADP', 'IN', 'prep'), ('high', 'ADJ', 'JJ', 'amod'), ('quality', 'NOUN', 'NN', 'pobj'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('has', 'VERB', 'VBZ', 'ROOT'), ('a', 'DET', 'DT', 'det'), ('killer', 'NOUN', 'NN', 'compound'), ('gui', 'NOUN', 'NN', 'dobj'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('is', 'VERB', 'VBZ', 'conj'), ('extremely', 'ADV', 'RB', 'advmod'), ('stable', 'ADJ', 'JJ', 'acomp'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('is', 'VERB', 'VBZ', 'conj'), ('highly', 'ADV', 'RB', 'advmod'), ('expandable', 'ADJ', 'JJ', 'acomp'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('is', 'VERB', 'VBZ', 'auxpass'), ('bundled', 'VERB', 'VBN', 'conj'), ('with', 'ADP', 'IN', 'prep'), ('lots', 'NOUN', 'NNS', 'pobj'), ('of', 'ADP', 'IN', 'prep'), ('very', 'ADV', 'RB', 'advmod'), ('good', 'ADJ', 'JJ', 'amod'), ('applications', 'NOUN', 'NNS', 'pobj'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('is', 'VERB', 'VBZ', 'conj'), ('easy', 'ADJ', 'JJ', 'acomp'), ('to', 'PART', 'TO', 'aux'), ('use', 'VERB', 'VB', 'xcomp'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('and', 'CCONJ', 'CC', 'cc'), ('is', 'VERB', 'VBZ', 'conj'), ('absolutely', 'ADV', 'RB', 'advmod'), ('gorgeous', 'ADJ', 'JJ', 'acomp'), (' <PERIOD> ', 'PUNCT', '.', 'punct')]"
"['easy|ADJ', 'to', 'start|VERB', 'up', 'and', 'does|VERB', 'not', 'overheat|VERB', 'as', 'much|ADJ', 'as', 'other|ADJ', 'laptops|NOUN', ' <PERIOD> ']","[3, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[('easy', 'ADJ', 'JJ', 'ROOT'), ('to', 'PART', 'TO', 'aux'), ('start', 'VERB', 'VB', 'xcomp'), ('up', 'PART', 'RP', 'prt'), ('and', 'CCONJ', 'CC', 'cc'), ('does', 'VERB', 'VBZ', 'aux'), ('not', 'ADV', 'RB', 'neg'), ('overheat', 'VERB', 'VB', 'conj'), ('as', 'ADV', 'RB', 'advmod'), ('much', 'ADJ', 'JJ', 'advmod'), ('as', 'ADP', 'IN', 'prep'), ('other', 'ADJ', 'JJ', 'amod'), ('laptops', 'NOUN', 'NNS', 'pobj'), (' <PERIOD> ', 'PUNCT', '.', 'punct')]"
"['sad|ADJ', 'very', 'sad|ADJ', ' <PERIOD> ']","[3, 5, 5, 5]","[('sad', 'ADJ', 'JJ', 'amod'), ('very', 'ADV', 'RB', 'advmod'), ('sad', 'ADJ', 'JJ', 'ROOT'), (' <PERIOD> ', 'PUNCT', '.', 'punct')]"
"['i', 'even', 'got|VERB', 'my|ADJ', 'teenage|ADJ', 'son|NOUN', 'one', ' <COMMA> ', 'because', 'of', 'the', 'features|NOUN', 'that|ADJ', 'it', 'offers|VERB', ' <COMMA> ', 'like', ' <COMMA> ', 'ichat|NOUN', ' <COMMA> ', 'photobooth|ADJ', ' <COMMA> ', 'garage|NOUN', 'band|NOUN', 'and', 'more|ADJ', ' <EXCLAMATION_MARK> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]","[('i', 'PRON', 'PRP', 'nsubj'), ('even', 'ADV', 'RB', 'advmod'), ('got', 'VERB', 'VBD', 'ROOT'), ('my', 'ADJ', 'PRP$', 'poss'), ('teenage', 'ADJ', 'JJ', 'amod'), ('son', 'NOUN', 'NN', 'dobj'), ('one', 'NUM', 'CD', 'appos'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('because', 'ADP', 'IN', 'prep'), ('of', 'ADP', 'IN', 'pcomp'), ('the', 'DET', 'DT', 'det'), ('features', 'NOUN', 'NNS', 'pobj'), ('that', 'ADJ', 'WDT', 'dobj'), ('it', 'PRON', 'PRP', 'nsubj'), ('offers', 'VERB', 'VBZ', 'relcl'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('like', 'INTJ', 'UH', 'intj'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('ichat', 'NOUN', 'NN', 'intj'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('photobooth', 'ADJ', 'JJ', 'conj'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('garage', 'NOUN', 'NN', 'compound'), ('band', 'NOUN', 'NN', 'dobj'), ('and', 'CCONJ', 'CC', 'cc'), ('more', 'ADJ', 'JJR', 'conj'), (' <EXCLAMATION_MARK> ', 'PUNCT', '.', 'punct')]"
"['needless|ADJ', 'to', 'say|VERB', 'a', 'pc|NOUN', 'that|ADJ', 'ca|VERB', ""n't"", 'support|VERB', 'a', 'cell|NOUN', 'phone|NOUN', 'is|VERB', 'less|ADJ', 'than', 'useless|ADJ', ' <EXCLAMATION_MARK> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]","[('needless', 'ADJ', 'JJ', 'ROOT'), ('to', 'PART', 'TO', 'aux'), ('say', 'VERB', 'VB', 'xcomp'), ('a', 'DET', 'DT', 'det'), ('pc', 'NOUN', 'NN', 'nsubj'), ('that', 'ADJ', 'WDT', 'nsubj'), ('ca', 'VERB', 'MD', 'aux'), (""n't"", 'ADV', 'RB', 'neg'), ('support', 'VERB', 'VB', 'relcl'), ('a', 'DET', 'DT', 'det'), ('cell', 'NOUN', 'NN', 'compound'), ('phone', 'NOUN', 'NN', 'dobj'), ('is', 'VERB', 'VBZ', 'ccomp'), ('less', 'ADJ', 'JJR', 'acomp'), ('than', 'ADP', 'IN', 'prep'), ('useless', 'ADJ', 'JJ', 'amod'), (' <EXCLAMATION_MARK> ', 'PUNCT', '.', 'punct')]"
