Sentence,Sequence,Tags
"['But', 'the', 'staff', 'was', 'so', 'horrible', 'to', 'us']","[5, 5, 1, 5, 5, 3, 5, 5]","[('But', 'CCONJ', 'CC', 'cc'), ('the', 'DET', 'DT', 'det'), ('staff', 'NOUN', 'NN', 'nsubj'), ('was', 'VERB', 'VBD', 'ROOT'), ('so', 'ADV', 'RB', 'advmod'), ('horrible', 'ADJ', 'JJ', 'acomp'), ('to', 'ADP', 'IN', 'prep'), ('us', 'PRON', 'PRP', 'pobj')]"
"['To', 'be', 'completely', 'fair', 'the', 'only', 'redeeming', 'factor', 'was', 'the', 'food', 'which', 'was', 'above', 'average', 'but', 'couldnt', 'make', 'up', 'for', 'all', 'the', 'other', 'deficiencies', 'of', 'Teodora']","[5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 1, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[('To', 'PART', 'TO', 'aux'), ('be', 'VERB', 'VB', 'advcl'), ('completely', 'ADV', 'RB', 'advmod'), ('fair', 'ADJ', 'JJ', 'acomp'), ('the', 'DET', 'DT', 'det'), ('only', 'ADJ', 'JJ', 'amod'), ('redeeming', 'NOUN', 'NN', 'amod'), ('factor', 'NOUN', 'NN', 'nsubj'), ('was', 'VERB', 'VBD', 'ROOT'), ('the', 'DET', 'DT', 'det'), ('food', 'NOUN', 'NN', 'attr'), ('which', 'ADJ', 'WDT', 'nsubj'), ('was', 'VERB', 'VBD', 'relcl'), ('above', 'ADP', 'IN', 'prep'), ('average', 'ADJ', 'JJ', 'pobj'), ('but', 'CCONJ', 'CC', 'cc'), ('could', 'VERB', 'MD', 'aux'), ('nt', 'ADV', 'RB', 'advmod'), ('make', 'VERB', 'VB', 'conj'), ('up', 'PART', 'RP', 'prt'), ('for', 'ADP', 'IN', 'prep'), ('all', 'ADJ', 'PDT', 'predet'), ('the', 'DET', 'DT', 'det'), ('other', 'ADJ', 'JJ', 'amod'), ('deficiencies', 'NOUN', 'NNS', 'pobj'), ('of', 'ADP', 'IN', 'prep'), ('Teodora', 'PROPN', 'NNP', 'pobj')]"
"['The', 'food', 'is', 'uniformly', 'exceptional', 'with', 'a', 'very', 'capable', 'kitchen', 'which', 'will', 'proudly', 'whip', 'up', 'whatever', 'you', 'feel', 'like', 'eating', 'whether', 'its', 'on', 'the', 'menu', 'or', 'not']","[5, 1, 5, 5, 3, 5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5]","[('The', 'DET', 'DT', 'det'), ('food', 'NOUN', 'NN', 'nsubj'), ('is', 'VERB', 'VBZ', 'ROOT'), ('uniformly', 'ADV', 'RB', 'advmod'), ('exceptional', 'ADJ', 'JJ', 'acomp'), ('with', 'ADP', 'IN', 'prep'), ('a', 'DET', 'DT', 'det'), ('very', 'ADV', 'RB', 'advmod'), ('capable', 'ADJ', 'JJ', 'amod'), ('kitchen', 'NOUN', 'NN', 'pobj'), ('which', 'ADJ', 'WDT', 'nsubj'), ('will', 'VERB', 'MD', 'aux'), ('proudly', 'ADV', 'RB', 'advmod'), ('whip', 'VERB', 'VB', 'relcl'), ('up', 'PART', 'RP', 'prt'), ('whatever', 'ADJ', 'WDT', 'dobj'), ('you', 'PRON', 'PRP', 'nsubj'), ('feel', 'VERB', 'VBP', 'ccomp'), ('like', 'ADP', 'IN', 'prep'), ('eating', 'VERB', 'VBG', 'pcomp'), ('whether', 'ADP', 'IN', 'mark'), ('its', 'ADJ', 'PRP$', 'poss'), ('on', 'ADP', 'IN', 'prep'), ('the', 'DET', 'DT', 'det'), ('menu', 'NOUN', 'NN', 'pobj'), ('or', 'CCONJ', 'CC', 'cc'), ('not', 'ADV', 'RB', 'neg')]"
"['Where', 'Gabriela', 'personaly', 'greets', 'you', 'and', 'recommends', 'you', 'what', 'to', 'eat']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[('Where', 'ADV', 'WRB', 'advmod'), ('Gabriela', 'PROPN', 'NNP', 'nmod'), ('personaly', 'ADJ', 'JJ', 'amod'), ('greets', 'NOUN', 'NNS', 'ROOT'), ('you', 'PRON', 'PRP', 'dobj'), ('and', 'CCONJ', 'CC', 'cc'), ('recommends', 'VERB', 'VBZ', 'conj'), ('you', 'PRON', 'PRP', 'dobj'), ('what', 'NOUN', 'WP', 'dobj'), ('to', 'PART', 'TO', 'aux'), ('eat', 'VERB', 'VB', 'ccomp')]"
"['For', 'those', 'that', 'go', 'once', 'and', 'dont', 'enjoy', 'it', 'all', 'I', 'can', 'say', 'is', 'that', 'they', 'just', 'dont', 'get', 'it']","[5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[('For', 'ADP', 'IN', 'prep'), ('those', 'DET', 'DT', 'pobj'), ('that', 'ADJ', 'WDT', 'nsubj'), ('go', 'VERB', 'VBP', 'relcl'), ('once', 'ADV', 'RB', 'advmod'), ('and', 'CCONJ', 'CC', 'cc'), ('do', 'VERB', 'VBP', 'aux'), ('nt', 'ADV', 'RB', 'advmod'), ('enjoy', 'VERB', 'VB', 'conj'), ('it', 'PRON', 'PRP', 'dobj'), ('all', 'DET', 'DT', 'dobj'), ('I', 'PRON', 'PRP', 'nsubj'), ('can', 'VERB', 'MD', 'aux'), ('say', 'VERB', 'VB', 'relcl'), ('is', 'VERB', 'VBZ', 'ROOT'), ('that', 'ADP', 'IN', 'mark'), ('they', 'PRON', 'PRP', 'nsubj'), ('just', 'ADV', 'RB', 'advmod'), ('do', 'VERB', 'VBP', 'aux'), ('nt', 'ADV', 'RB', 'advmod'), ('get', 'VERB', 'VB', 'ccomp'), ('it', 'PRON', 'PRP', 'dobj')]"
"['Not', 'only', 'was', 'the', 'food', 'outstanding', 'but', 'the', 'little', 'perks', 'were', 'great']","[5, 5, 5, 5, 1, 3, 5, 5, 5, 1, 5, 3]","[('Not', 'ADV', 'RB', 'preconj'), ('only', 'ADV', 'RB', 'advmod'), ('was', 'VERB', 'VBD', 'ROOT'), ('the', 'DET', 'DT', 'det'), ('food', 'NOUN', 'NN', 'nsubj'), ('outstanding', 'ADJ', 'JJ', 'amod'), ('but', 'CCONJ', 'CC', 'cc'), ('the', 'DET', 'DT', 'det'), ('little', 'ADJ', 'JJ', 'amod'), ('perks', 'NOUN', 'NNS', 'nsubj'), ('were', 'VERB', 'VBD', 'conj'), ('great', 'ADJ', 'JJ', 'acomp')]"
"['It', 'is', 'very', 'overpriced', 'and', 'not', 'very', 'tasty']","[5, 5, 5, 3, 5, 5, 5, 3]","[('It', 'PRON', 'PRP', 'nsubj'), ('is', 'VERB', 'VBZ', 'ROOT'), ('very', 'ADV', 'RB', 'advmod'), ('overpriced', 'ADJ', 'JJ', 'acomp'), ('and', 'CCONJ', 'CC', 'cc'), ('not', 'ADV', 'RB', 'neg'), ('very', 'ADV', 'RB', 'advmod'), ('tasty', 'ADJ', 'JJ', 'conj')]"
"['Our', 'agreed', 'favorite', 'is', 'the', 'orrechiete', 'with', 'sausage', 'and', 'chicken', 'usually', 'the', 'waiters', 'are', 'kind', 'enough', 'to', 'split', 'the', 'dish', 'in', 'half', 'so', 'you', 'get', 'to', 'sample', 'both', 'meats']","[5, 5, 3, 5, 5, 1, 2, 2, 2, 2, 5, 5, 1, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1]","[('Our', 'ADJ', 'PRP$', 'poss'), ('agreed', 'VERB', 'VBN', 'amod'), ('favorite', 'ADJ', 'JJ', 'nsubj'), ('is', 'VERB', 'VBZ', 'ROOT'), ('the', 'DET', 'DT', 'det'), ('orrechiete', 'NOUN', 'NN', 'attr'), ('with', 'ADP', 'IN', 'prep'), ('sausage', 'NOUN', 'NN', 'pobj'), ('and', 'CCONJ', 'CC', 'cc'), ('chicken', 'NOUN', 'NN', 'conj'), ('usually', 'ADV', 'RB', 'advmod'), ('the', 'DET', 'DT', 'det'), ('waiters', 'NOUN', 'NNS', 'nsubj'), ('are', 'VERB', 'VBP', 'conj'), ('kind', 'ADV', 'RB', 'advmod'), ('enough', 'ADV', 'RB', 'acomp'), ('to', 'PART', 'TO', 'aux'), ('split', 'VERB', 'VB', 'xcomp'), ('the', 'DET', 'DT', 'det'), ('dish', 'NOUN', 'NN', 'dobj'), ('in', 'ADP', 'IN', 'prep'), ('half', 'NOUN', 'NN', 'pobj'), ('so', 'ADP', 'IN', 'advmod'), ('you', 'PRON', 'PRP', 'nsubj'), ('get', 'VERB', 'VBP', 'ROOT'), ('to', 'PART', 'TO', 'aux'), ('sample', 'VERB', 'VB', 'xcomp'), ('both', 'DET', 'DT', 'det'), ('meats', 'NOUN', 'NNS', 'dobj')]"
"['The', 'Bagels', 'have', 'an', 'outstanding', 'taste', 'with', 'a', 'terrific', 'texture', 'both', 'chewy', 'yet', 'not', 'gummy']","[5, 1, 5, 5, 3, 5, 5, 5, 3, 5, 5, 3, 5, 5, 3]","[('The', 'DET', 'DT', 'det'), ('Bagels', 'PROPN', 'NNPS', 'nsubj'), ('have', 'VERB', 'VBP', 'ROOT'), ('an', 'DET', 'DT', 'det'), ('outstanding', 'ADJ', 'JJ', 'amod'), ('taste', 'NOUN', 'NN', 'dobj'), ('with', 'ADP', 'IN', 'prep'), ('a', 'DET', 'DT', 'det'), ('terrific', 'ADJ', 'JJ', 'amod'), ('texture', 'NOUN', 'NN', 'pobj'), ('both', 'DET', 'DT', 'preconj'), ('chewy', 'VERB', 'VBN', 'amod'), ('yet', 'CCONJ', 'CC', 'advmod'), ('not', 'ADV', 'RB', 'neg'), ('gummy', 'ADJ', 'JJ', 'conj')]"
"['Nevertheless', 'the', 'food', 'itself', 'is', 'pretty', 'good']","[5, 5, 1, 5, 5, 5, 3]","[('Nevertheless', 'ADV', 'RB', 'advmod'), ('the', 'DET', 'DT', 'det'), ('food', 'NOUN', 'NN', 'nsubj'), ('itself', 'PRON', 'PRP', 'appos'), ('is', 'VERB', 'VBZ', 'ROOT'), ('pretty', 'ADV', 'RB', 'advmod'), ('good', 'ADJ', 'JJ', 'acomp')]"
