Sentence,Sequence,Tags
"['but', 'the', 'staff', 'was', 'so', 'horrible', 'to', 'us', ' <PERIOD> ']","[5, 5, 1, 5, 5, 3, 5, 5, 5]","[('but', 'CCONJ', 'CC', 'cc'), ('the', 'DET', 'DT', 'det'), ('staff', 'NOUN', 'NN', 'nsubj'), ('was', 'VERB', 'VBD', 'ROOT'), ('so', 'ADV', 'RB', 'advmod'), ('horrible', 'ADJ', 'JJ', 'acomp'), ('to', 'ADP', 'IN', 'prep'), ('us', 'PRON', 'PRP', 'pobj'), (' <PERIOD> ', 'PUNCT', '.', 'punct')]"
"['to', 'be', 'completely', 'fair', ' <COMMA> ', 'the', 'only', 'redeeming', 'factor', 'was', 'the', 'food', ' <COMMA> ', 'which', 'was', 'above', 'average', ' <COMMA> ', 'but', 'could', ""n't"", 'make', 'up', 'for', 'all', 'the', 'other', 'deficiencies', 'of', 'teodora', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 1, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[('to', 'PART', 'TO', 'aux'), ('be', 'VERB', 'VB', 'advcl'), ('completely', 'ADV', 'RB', 'advmod'), ('fair', 'ADJ', 'JJ', 'acomp'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('the', 'DET', 'DT', 'det'), ('only', 'ADJ', 'JJ', 'amod'), ('redeeming', 'NOUN', 'NN', 'amod'), ('factor', 'NOUN', 'NN', 'nsubj'), ('was', 'VERB', 'VBD', 'ROOT'), ('the', 'DET', 'DT', 'det'), ('food', 'NOUN', 'NN', 'attr'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('which', 'ADJ', 'WDT', 'nsubj'), ('was', 'VERB', 'VBD', 'relcl'), ('above', 'ADP', 'IN', 'prep'), ('average', 'ADJ', 'JJ', 'pobj'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('but', 'CCONJ', 'CC', 'cc'), ('could', 'VERB', 'MD', 'aux'), (""n't"", 'ADV', 'RB', 'neg'), ('make', 'VERB', 'VB', 'conj'), ('up', 'PART', 'RP', 'prt'), ('for', 'ADP', 'IN', 'prep'), ('all', 'ADJ', 'PDT', 'predet'), ('the', 'DET', 'DT', 'det'), ('other', 'ADJ', 'JJ', 'amod'), ('deficiencies', 'NOUN', 'NNS', 'pobj'), ('of', 'ADP', 'IN', 'prep'), ('teodora', 'NOUN', 'NN', 'pobj'), (' <PERIOD> ', 'PUNCT', '.', 'punct')]"
"['the', 'food', 'is', 'uniformly', 'exceptional', ' <COMMA> ', 'with', 'a', 'very', 'capable', 'kitchen', 'which', 'will', 'proudly', 'whip', 'up', 'whatever', 'you', 'feel', 'like', 'eating', ' <COMMA> ', 'whether', 'it', ""'s"", 'on', 'the', 'menu', 'or', 'not', ' <PERIOD> ']","[5, 1, 5, 5, 3, 5, 5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5]","[('the', 'DET', 'DT', 'det'), ('food', 'NOUN', 'NN', 'nsubj'), ('is', 'VERB', 'VBZ', 'ROOT'), ('uniformly', 'ADV', 'RB', 'advmod'), ('exceptional', 'ADJ', 'JJ', 'acomp'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('with', 'ADP', 'IN', 'prep'), ('a', 'DET', 'DT', 'det'), ('very', 'ADV', 'RB', 'advmod'), ('capable', 'ADJ', 'JJ', 'amod'), ('kitchen', 'NOUN', 'NN', 'pobj'), ('which', 'ADJ', 'WDT', 'nsubj'), ('will', 'VERB', 'MD', 'aux'), ('proudly', 'ADV', 'RB', 'advmod'), ('whip', 'VERB', 'VB', 'relcl'), ('up', 'PART', 'RP', 'prt'), ('whatever', 'ADJ', 'WDT', 'dobj'), ('you', 'PRON', 'PRP', 'nsubj'), ('feel', 'VERB', 'VBP', 'ccomp'), ('like', 'ADP', 'IN', 'prep'), ('eating', 'VERB', 'VBG', 'pcomp'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('whether', 'ADP', 'IN', 'mark'), ('it', 'PRON', 'PRP', 'nsubj'), (""'s"", 'VERB', 'VBZ', 'advcl'), ('on', 'ADP', 'IN', 'prep'), ('the', 'DET', 'DT', 'det'), ('menu', 'NOUN', 'NN', 'pobj'), ('or', 'CCONJ', 'CC', 'cc'), ('not', 'ADV', 'RB', 'conj'), (' <PERIOD> ', 'PUNCT', '.', 'punct')]"
"['where', 'gabriela', 'personaly', 'greets', 'you', 'and', 'recommends', 'you', 'what', 'to', 'eat', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[('where', 'ADV', 'WRB', 'advmod'), ('gabriela', 'VERB', 'VB', 'nmod'), ('personaly', 'ADJ', 'JJ', 'amod'), ('greets', 'NOUN', 'NNS', 'ROOT'), ('you', 'PRON', 'PRP', 'dobj'), ('and', 'CCONJ', 'CC', 'cc'), ('recommends', 'VERB', 'VBZ', 'conj'), ('you', 'PRON', 'PRP', 'dobj'), ('what', 'NOUN', 'WP', 'dobj'), ('to', 'PART', 'TO', 'aux'), ('eat', 'VERB', 'VB', 'ccomp'), (' <PERIOD> ', 'PUNCT', '.', 'punct')]"
"['for', 'those', 'that', 'go', 'once', 'and', 'do', ""n't"", 'enjoy', 'it', ' <COMMA> ', 'all', 'i', 'can', 'say', 'is', 'that', 'they', 'just', 'do', ""n't"", 'get', 'it', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[('for', 'ADP', 'IN', 'prep'), ('those', 'DET', 'DT', 'pobj'), ('that', 'ADJ', 'WDT', 'nsubj'), ('go', 'VERB', 'VBP', 'relcl'), ('once', 'ADV', 'RB', 'advmod'), ('and', 'CCONJ', 'CC', 'cc'), ('do', 'VERB', 'VB', 'aux'), (""n't"", 'ADV', 'RB', 'neg'), ('enjoy', 'VERB', 'VB', 'conj'), ('it', 'PRON', 'PRP', 'dobj'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('all', 'DET', 'DT', 'nsubj'), ('i', 'PRON', 'PRP', 'nsubj'), ('can', 'VERB', 'MD', 'aux'), ('say', 'VERB', 'VB', 'relcl'), ('is', 'VERB', 'VBZ', 'ROOT'), ('that', 'ADP', 'IN', 'mark'), ('they', 'PRON', 'PRP', 'nsubj'), ('just', 'ADV', 'RB', 'advmod'), ('do', 'VERB', 'VBP', 'aux'), (""n't"", 'ADV', 'RB', 'neg'), ('get', 'VERB', 'VB', 'ccomp'), ('it', 'PRON', 'PRP', 'dobj'), (' <PERIOD> ', 'PUNCT', '.', 'punct')]"
"['not', 'only', 'was', 'the', 'food', 'outstanding', ' <COMMA> ', 'but', 'the', 'little', ""'"", 'perks', ""'"", 'were', 'great', ' <PERIOD> ']","[5, 5, 5, 5, 1, 3, 5, 5, 5, 5, 5, 1, 5, 5, 3, 5]","[('not', 'ADV', 'RB', 'preconj'), ('only', 'ADV', 'RB', 'advmod'), ('was', 'VERB', 'VBD', 'ROOT'), ('the', 'DET', 'DT', 'det'), ('food', 'NOUN', 'NN', 'nsubj'), ('outstanding', 'ADJ', 'JJ', 'amod'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('but', 'CCONJ', 'CC', 'cc'), ('the', 'DET', 'DT', 'det'), ('little', 'ADJ', 'JJ', 'amod'), (""'"", 'PUNCT', '``', 'punct'), ('perks', 'NOUN', 'NNS', 'nsubj'), (""'"", 'PUNCT', ""''"", 'punct'), ('were', 'VERB', 'VBD', 'conj'), ('great', 'ADJ', 'JJ', 'acomp'), (' <PERIOD> ', 'PUNCT', '.', 'punct')]"
"['it', 'is', 'very', 'overpriced', 'and', 'not', 'very', 'tasty', ' <PERIOD> ']","[5, 5, 5, 3, 5, 5, 5, 3, 5]","[('it', 'PRON', 'PRP', 'nsubj'), ('is', 'VERB', 'VBZ', 'ROOT'), ('very', 'ADV', 'RB', 'advmod'), ('overpriced', 'ADJ', 'JJ', 'acomp'), ('and', 'CCONJ', 'CC', 'cc'), ('not', 'ADV', 'RB', 'neg'), ('very', 'ADV', 'RB', 'advmod'), ('tasty', 'ADJ', 'JJ', 'conj'), (' <PERIOD> ', 'PUNCT', '.', 'punct')]"
"['our', 'agreed', 'favorite', 'is', 'the', 'orrechiete', 'with', 'sausage', 'and', 'chicken', ' <LEFT PARENTHESIS> ', 'usually', 'the', 'waiters', 'are', 'kind', 'enough', 'to', 'split', 'the', 'dish', 'in', 'half', 'so', 'you', 'get', 'to', 'sample', 'both', 'meats', ' <RIGHT PARENTHESIS> ', ' <PERIOD> ']","[5, 5, 3, 5, 5, 1, 2, 2, 2, 2, 5, 5, 5, 1, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5]","[('our', 'ADJ', 'PRP$', 'poss'), ('agreed', 'VERB', 'VBN', 'amod'), ('favorite', 'ADJ', 'JJ', 'nsubj'), ('is', 'VERB', 'VBZ', 'ROOT'), ('the', 'DET', 'DT', 'det'), ('orrechiete', 'NOUN', 'NN', 'attr'), ('with', 'ADP', 'IN', 'prep'), ('sausage', 'NOUN', 'NN', 'pobj'), ('and', 'CCONJ', 'CC', 'cc'), ('chicken', 'NOUN', 'NN', 'conj'), (' <LEFT PARENTHESIS> ', 'PUNCT', '-LRB-', 'punct'), ('usually', 'ADV', 'RB', 'advmod'), ('the', 'DET', 'DT', 'det'), ('waiters', 'NOUN', 'NNS', 'nsubj'), ('are', 'VERB', 'VBP', 'conj'), ('kind', 'ADV', 'RB', 'advmod'), ('enough', 'ADV', 'RB', 'acomp'), ('to', 'PART', 'TO', 'aux'), ('split', 'VERB', 'VB', 'xcomp'), ('the', 'DET', 'DT', 'det'), ('dish', 'NOUN', 'NN', 'dobj'), ('in', 'ADP', 'IN', 'prep'), ('half', 'NOUN', 'NN', 'pobj'), ('so', 'ADP', 'IN', 'advmod'), ('you', 'PRON', 'PRP', 'nsubj'), ('get', 'VERB', 'VBP', 'ROOT'), ('to', 'PART', 'TO', 'aux'), ('sample', 'VERB', 'VB', 'xcomp'), ('both', 'DET', 'DT', 'det'), ('meats', 'NOUN', 'NNS', 'dobj'), (' <RIGHT PARENTHESIS> ', 'PUNCT', '-RRB-', 'punct'), (' <PERIOD> ', 'PUNCT', '.', 'punct')]"
"['the', 'bagels', 'have', 'an', 'outstanding', 'taste', 'with', 'a', 'terrific', 'texture', ' <COMMA> ', 'both', 'chewy', 'yet', 'not', 'gummy', ' <PERIOD> ']","[5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 3, 5]","[('the', 'DET', 'DT', 'det'), ('bagels', 'NOUN', 'NNS', 'nsubj'), ('have', 'VERB', 'VBP', 'ROOT'), ('an', 'DET', 'DT', 'det'), ('outstanding', 'ADJ', 'JJ', 'amod'), ('taste', 'NOUN', 'NN', 'dobj'), ('with', 'ADP', 'IN', 'prep'), ('a', 'DET', 'DT', 'det'), ('terrific', 'ADJ', 'JJ', 'amod'), ('texture', 'NOUN', 'NN', 'pobj'), (' <COMMA> ', 'PUNCT', ',', 'punct'), ('both', 'DET', 'DT', 'det'), ('chewy', 'VERB', 'VBN', 'appos'), ('yet', 'CCONJ', 'CC', 'advmod'), ('not', 'ADV', 'RB', 'neg'), ('gummy', 'ADJ', 'JJ', 'conj'), (' <PERIOD> ', 'PUNCT', '.', 'punct')]"
"['nevertheless', 'the', 'food', 'itself', 'is', 'pretty', 'good', ' <PERIOD> ']","[5, 5, 1, 5, 5, 5, 3, 5]","[('nevertheless', 'ADV', 'RB', 'advmod'), ('the', 'DET', 'DT', 'det'), ('food', 'NOUN', 'NN', 'nsubj'), ('itself', 'PRON', 'PRP', 'appos'), ('is', 'VERB', 'VBZ', 'ROOT'), ('pretty', 'ADV', 'RB', 'advmod'), ('good', 'ADJ', 'JJ', 'acomp'), (' <PERIOD> ', 'PUNCT', '.', 'punct')]"
