Sentence,Sequence
"['but', 'the', 'staff|NOUN', 'was|VERB', 'so', 'horrible|ADJ', 'to', 'us', ' <PERIOD> ']","[5, 5, 1, 5, 5, 3, 5, 5, 5]"
"['to', 'be|VERB', 'completely', 'fair|ADJ', ' <COMMA> ', 'the', 'only|ADJ', 'redeeming|NOUN', 'factor|NOUN', 'was|VERB', 'the', 'food|NOUN', ' <COMMA> ', 'which|ADJ', 'was|VERB', 'above', 'average|ADJ', ' <COMMA> ', 'but', 'could|VERB', ""n't"", 'make|VERB', 'up', 'for', 'all|ADJ', 'the', 'other|ADJ', 'deficiencies|NOUN', 'of', 'teodora|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 1, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'food|NOUN', 'is|VERB', 'uniformly', 'exceptional|ADJ', ' <COMMA> ', 'with', 'a', 'very', 'capable|ADJ', 'kitchen|NOUN', 'which|ADJ', 'will|VERB', 'proudly', 'whip|VERB', 'up', 'whatever|ADJ', 'you', 'feel|VERB', 'like', 'eating|VERB', ' <COMMA> ', 'whether', 'it', ""'s|VERB"", 'on', 'the', 'menu|NOUN', 'or', 'not', ' <PERIOD> ']","[5, 1, 5, 5, 3, 5, 5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5]"
"['where', 'gabriela|VERB', 'personaly|ADJ', 'greets|NOUN', 'you', 'and', 'recommends|VERB', 'you', 'what|NOUN', 'to', 'eat|VERB', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['for', 'those', 'that|ADJ', 'go|VERB', 'once', 'and', 'do|VERB', ""n't"", 'enjoy|VERB', 'it', ' <COMMA> ', 'all', 'i', 'can|VERB', 'say|VERB', 'is|VERB', 'that', 'they', 'just', 'do|VERB', ""n't"", 'get|VERB', 'it', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['not', 'only', 'was|VERB', 'the', 'food|NOUN', 'outstanding|ADJ', ' <COMMA> ', 'but', 'the', 'little|ADJ', ""'"", 'perks|NOUN', ""'"", 'were|VERB', 'great|ADJ', ' <PERIOD> ']","[5, 5, 5, 5, 1, 3, 5, 5, 5, 5, 5, 1, 5, 5, 3, 5]"
"['it', 'is|VERB', 'very', 'overpriced|ADJ', 'and', 'not', 'very', 'tasty|ADJ', ' <PERIOD> ']","[5, 5, 5, 3, 5, 5, 5, 3, 5]"
"['our|ADJ', 'agreed|VERB', 'favorite|ADJ', 'is|VERB', 'the', 'orrechiete|NOUN', 'with', 'sausage|NOUN', 'and', 'chicken|NOUN', ' <LEFT PARENTHESIS> ', 'usually', 'the', 'waiters|NOUN', 'are|VERB', 'kind', 'enough', 'to', 'split|VERB', 'the', 'dish|NOUN', 'in', 'half|NOUN', 'so', 'you', 'get|VERB', 'to', 'sample|VERB', 'both', 'meats|NOUN', ' <RIGHT PARENTHESIS> ', ' <PERIOD> ']","[5, 5, 3, 5, 5, 1, 2, 2, 2, 2, 5, 5, 5, 1, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5]"
"['the', 'bagels|NOUN', 'have|VERB', 'an', 'outstanding|ADJ', 'taste|NOUN', 'with', 'a', 'terrific|ADJ', 'texture|NOUN', ' <COMMA> ', 'both', 'chewy|VERB', 'yet', 'not', 'gummy|ADJ', ' <PERIOD> ']","[5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 3, 5]"
"['nevertheless', 'the', 'food|NOUN', 'itself', 'is|VERB', 'pretty', 'good|ADJ', ' <PERIOD> ']","[5, 5, 1, 5, 5, 5, 3, 5]"
"['i', ""'ve|VERB"", 'noticed|VERB', 'megadeth|NOUN', ' <COMMA> ', 'mr|NOUN', ' <PERIOD> ', 'scruff|NOUN', ' <COMMA> ', 'st', ' <PERIOD> ', 'germain|ADJ', ' <COMMA> ', 'traditional|ADJ', 'vietnamese|ADJ', 'songs|NOUN', ' <COMMA> ', 'black|ADJ', 'sabbath|NOUN', ' <COMMA> ', 'jay|NOUN', ' <HYPHEN> ', 'z|NOUN', ' <COMMA> ', 'and', 'daft|NOUN', 'punk|NOUN', 'all', 'being|VERB', 'played|VERB', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['they', 'did|VERB', 'not', 'have|VERB', 'mayonnaise|NOUN', ' <COMMA> ', 'forgot|VERB', 'our|ADJ', 'toast|NOUN', ' <COMMA> ', 'left|VERB', 'out', 'ingredients|NOUN', ' <LEFT PARENTHESIS> ', 'ie', 'cheese|NOUN', 'in', 'an', 'omelet|NOUN', ' <RIGHT PARENTHESIS> ', ' <COMMA> ', 'below', 'hot|ADJ', 'temperatures|NOUN', 'and', 'the', 'bacon|NOUN', 'was|VERB', 'so', 'over', 'cooked|VERB', 'it', 'crumbled|VERB', 'on', 'the', 'plate|NOUN', 'when', 'you', 'touched|VERB', 'it', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 3, 5, 1, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['it', 'took|VERB', 'half|ADJ', 'an', 'hour|NOUN', 'to', 'get|VERB', 'our|ADJ', 'check|NOUN', ' <COMMA> ', 'which|ADJ', 'was|VERB', 'perfect|ADJ', 'since', 'we', 'could|VERB', 'sit|VERB', ' <COMMA> ', 'have|VERB', 'drinks|NOUN', 'and', 'talk|VERB', ' <EXCLAMATION_MARK> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5]"
"['the', 'design|NOUN', 'and', 'atmosphere|NOUN', 'is|VERB', 'just', 'as', 'good|ADJ', ' <PERIOD> ']","[5, 1, 5, 1, 5, 5, 5, 3, 5]"
"['he', 'has|VERB', 'visited|VERB', 'thailand|NOUN', 'and', 'is|VERB', 'quite', 'expert|ADJ', 'on', 'the', 'cuisine|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5]"
"['i', 'would|VERB', 'definitely', 'recommend|VERB', 'mary|NOUN', ""'s"", 'and', 'am|VERB', 'making|VERB', 'it', 'one', 'of', 'my|ADJ', 'regular|ADJ', 'neighborhood|NOUN', 'haunts|NOUN', ' <PERIOD> ']","[5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'pizza|NOUN', 'is|VERB', 'the', 'best|ADJ', 'if', 'you', 'like|VERB', 'thin|ADJ', 'crusted|ADJ', 'pizza|NOUN', ' <PERIOD> ']","[5, 1, 5, 5, 3, 5, 5, 5, 1, 2, 2, 5]"
"['my|ADJ', 'girlfriend|NOUN', 'and', 'i', 'stumbled|VERB', 'onto', 'this', 'hopping|VERB', 'place|NOUN', 'the', 'other|ADJ', 'night|NOUN', 'and', 'had|VERB', 'a', 'great|ADJ', 'time|NOUN', ' <EXCLAMATION_MARK> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5]"
"['he', 'ca|VERB', ""n't"", 'help|VERB', ' <COMMA> ', 'they', ""'re|VERB"", 'bought|VERB', 'up', 'so', 'fast', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
"['secondly', ' <COMMA> ', 'on', 'this', 'night|NOUN', 'the', 'place|NOUN', 'was|VERB', 'overwhelmed|VERB', 'by', 'upper|ADJ', 'east|ADJ', 'side|NOUN', 'ladies|NOUN', 'perfume|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'have|VERB', 'eaten|VERB', 'here', 'a', 'handful|NOUN', 'of', 'times|NOUN', ' <COMMA> ', 'for', 'no', 'reason|NOUN', 'besides', 'sheer|ADJ', 'convenience|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['obviously', 'run|VERB', 'by', 'folks|NOUN', 'who|NOUN', 'know|VERB', 'a', 'pie|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['we', 'were|VERB', 'very', 'disappointed|ADJ', ' <PERIOD> ']","[5, 5, 5, 3, 5]"
"['it', 'is|VERB', 'definitely', 'special|ADJ', 'and', 'affordable|ADJ', ' <PERIOD> ']","[5, 5, 5, 3, 5, 3, 5]"
