Sentence,Sequence,Tags
"['i', 'charge', 'it', 'at', 'night', 'and', 'skip', 'taking', 'the', 'cord', 'with', 'me', 'because', 'of', 'the', 'good', 'battery', 'life']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 3, 1, 2]","[('i', 'PRON', 'PRP', 'nsubj'), ('charge', 'VERB', 'VBP', 'ROOT'), ('it', 'PRON', 'PRP', 'dobj'), ('at', 'ADP', 'IN', 'prep'), ('night', 'NOUN', 'NN', 'pobj'), ('and', 'CCONJ', 'CC', 'cc'), ('skip', 'VERB', 'VB', 'conj'), ('taking', 'VERB', 'VBG', 'xcomp'), ('the', 'DET', 'DT', 'det'), ('cord', 'NOUN', 'NN', 'dobj'), ('with', 'ADP', 'IN', 'prep'), ('me', 'PRON', 'PRP', 'pobj'), ('because', 'ADP', 'IN', 'prep'), ('of', 'ADP', 'IN', 'pcomp'), ('the', 'DET', 'DT', 'det'), ('good', 'ADJ', 'JJ', 'amod'), ('battery', 'NOUN', 'NN', 'compound'), ('life', 'NOUN', 'NN', 'pobj')]"
"['i', 'bought', 'a', 'hp', 'pavilion', 'dv41222nr', 'laptop', 'and', 'have', 'had', 'so', 'many', 'problems', 'with', 'the', 'computer']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[('i', 'PRON', 'PRP', 'nsubj'), ('bought', 'VERB', 'VBD', 'ROOT'), ('a', 'DET', 'DT', 'det'), ('hp', 'ADJ', 'JJ', 'compound'), ('pavilion', 'NOUN', 'NN', 'dobj'), ('dv41222nr', 'NOUN', 'NN', 'nummod'), ('laptop', 'NOUN', 'NN', 'npadvmod'), ('and', 'CCONJ', 'CC', 'cc'), ('have', 'VERB', 'VBP', 'aux'), ('had', 'VERB', 'VBN', 'conj'), ('so', 'ADV', 'RB', 'advmod'), ('many', 'ADJ', 'JJ', 'amod'), ('problems', 'NOUN', 'NNS', 'dobj'), ('with', 'ADP', 'IN', 'prep'), ('the', 'DET', 'DT', 'det'), ('computer', 'NOUN', 'NN', 'pobj')]"
"['the', 'tech', 'guy', 'then', 'said', 'the', 'service', 'center', 'does', 'not', 'do', '1to1', 'exchange', 'and', 'i', 'have', 'to', 'direct', 'my', 'concern', 'to', 'the', 'sales', 'team', 'which', 'is', 'the', 'retail', 'shop', 'which', 'i', 'bought', 'my', 'netbook', 'from']","[5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[('the', 'DET', 'DT', 'det'), ('tech', 'NOUN', 'NN', 'compound'), ('guy', 'NOUN', 'NN', 'nsubj'), ('then', 'ADV', 'RB', 'advmod'), ('said', 'VERB', 'VBD', 'ROOT'), ('the', 'DET', 'DT', 'det'), ('service', 'NOUN', 'NN', 'compound'), ('center', 'NOUN', 'NN', 'nsubj'), ('does', 'VERB', 'VBZ', 'aux'), ('not', 'ADV', 'RB', 'neg'), ('do', 'VERB', 'VB', 'ccomp'), ('1to1', 'NUM', 'CD', 'compound'), ('exchange', 'NOUN', 'NN', 'dobj'), ('and', 'CCONJ', 'CC', 'cc'), ('i', 'PRON', 'PRP', 'nsubj'), ('have', 'VERB', 'VBP', 'ROOT'), ('to', 'PART', 'TO', 'aux'), ('direct', 'VERB', 'VB', 'xcomp'), ('my', 'ADJ', 'PRP$', 'poss'), ('concern', 'NOUN', 'NN', 'dobj'), ('to', 'ADP', 'IN', 'prep'), ('the', 'DET', 'DT', 'det'), ('sales', 'NOUN', 'NNS', 'compound'), ('team', 'NOUN', 'NN', 'pobj'), ('which', 'ADJ', 'WDT', 'nsubj'), ('is', 'VERB', 'VBZ', 'relcl'), ('the', 'DET', 'DT', 'det'), ('retail', 'ADJ', 'JJ', 'amod'), ('shop', 'NOUN', 'NN', 'attr'), ('which', 'ADJ', 'WDT', 'pobj'), ('i', 'PRON', 'PRP', 'nsubj'), ('bought', 'VERB', 'VBD', 'relcl'), ('my', 'ADJ', 'PRP$', 'poss'), ('netbook', 'NOUN', 'NN', 'dobj'), ('from', 'ADP', 'IN', 'prep')]"
"['i', 'investigated', 'netbooks', 'and', 'saw', 'the', 'toshiba', 'nb305n410bl']","[5, 5, 5, 5, 5, 5, 5, 5]","[('i', 'PRON', 'PRP', 'nsubj'), ('investigated', 'VERB', 'VBD', 'ROOT'), ('netbooks', 'NOUN', 'NNS', 'dobj'), ('and', 'CCONJ', 'CC', 'cc'), ('saw', 'VERB', 'VBD', 'conj'), ('the', 'DET', 'DT', 'det'), ('toshiba', 'NOUN', 'NN', 'dobj'), ('nb305n410bl', 'ADV', 'RB', 'advmod')]"
"['the', 'other', 'day', 'i', 'had', 'a', 'presentation', 'to', 'do', 'for', 'a', 'seminar', 'at', 'a', 'large', 'conference', 'in', 'town', 'lots', 'of', 'people', 'little', 'time', 'to', 'prep', 'and', 'have', 'to', 'set', 'up', 'a', 'computer', 'to', 'a', 'projector', 'etc']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[('the', 'DET', 'DT', 'det'), ('other', 'ADJ', 'JJ', 'amod'), ('day', 'NOUN', 'NN', 'npadvmod'), ('i', 'PRON', 'PRP', 'nsubj'), ('had', 'VERB', 'VBD', 'ROOT'), ('a', 'DET', 'DT', 'det'), ('presentation', 'NOUN', 'NN', 'dobj'), ('to', 'PART', 'TO', 'aux'), ('do', 'VERB', 'VB', 'acl'), ('for', 'ADP', 'IN', 'prep'), ('a', 'DET', 'DT', 'det'), ('seminar', 'NOUN', 'NN', 'pobj'), ('at', 'ADP', 'IN', 'prep'), ('a', 'DET', 'DT', 'det'), ('large', 'ADJ', 'JJ', 'amod'), ('conference', 'NOUN', 'NN', 'pobj'), ('in', 'ADP', 'IN', 'prep'), ('town', 'NOUN', 'NN', 'compound'), ('lots', 'NOUN', 'NNS', 'pobj'), ('of', 'ADP', 'IN', 'prep'), ('people', 'NOUN', 'NNS', 'pobj'), ('little', 'ADJ', 'JJ', 'amod'), ('time', 'NOUN', 'NN', 'npadvmod'), ('to', 'PART', 'TO', 'aux'), ('prep', 'VERB', 'VB', 'relcl'), ('and', 'CCONJ', 'CC', 'cc'), ('have', 'VERB', 'VB', 'conj'), ('to', 'PART', 'TO', 'aux'), ('set', 'VERB', 'VB', 'xcomp'), ('up', 'PART', 'RP', 'prt'), ('a', 'DET', 'DT', 'det'), ('computer', 'NOUN', 'NN', 'dobj'), ('to', 'ADP', 'IN', 'prep'), ('a', 'DET', 'DT', 'det'), ('projector', 'NOUN', 'NN', 'pobj'), ('etc', 'X', 'FW', 'dobj')]"
"['it', 'is', 'of', 'high', 'quality', 'has', 'a', 'killer', 'gui', 'is', 'extremely', 'stable', 'is', 'highly', 'expandable', 'is', 'bundled', 'with', 'lots', 'of', 'very', 'good', 'applications', 'is', 'easy', 'to', 'use', 'and', 'is', 'absolutely', 'gorgeous']","[5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 3, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 5, 3, 5, 5, 5, 5, 5, 3]","[('it', 'PRON', 'PRP', 'nsubj'), ('is', 'VERB', 'VBZ', 'ccomp'), ('of', 'ADP', 'IN', 'prep'), ('high', 'ADJ', 'JJ', 'amod'), ('quality', 'NOUN', 'NN', 'pobj'), ('has', 'VERB', 'VBZ', 'conj'), ('a', 'DET', 'DT', 'det'), ('killer', 'NOUN', 'NN', 'compound'), ('gui', 'NOUN', 'NN', 'nsubj'), ('is', 'VERB', 'VBZ', 'conj'), ('extremely', 'ADV', 'RB', 'advmod'), ('stable', 'ADJ', 'JJ', 'acomp'), ('is', 'VERB', 'VBZ', 'conj'), ('highly', 'ADV', 'RB', 'advmod'), ('expandable', 'ADJ', 'JJ', 'acomp'), ('is', 'VERB', 'VBZ', 'auxpass'), ('bundled', 'VERB', 'VBN', 'ROOT'), ('with', 'ADP', 'IN', 'prep'), ('lots', 'NOUN', 'NNS', 'pobj'), ('of', 'ADP', 'IN', 'prep'), ('very', 'ADV', 'RB', 'advmod'), ('good', 'ADJ', 'JJ', 'amod'), ('applications', 'NOUN', 'NNS', 'pobj'), ('is', 'VERB', 'VBZ', 'conj'), ('easy', 'ADJ', 'JJ', 'acomp'), ('to', 'PART', 'TO', 'aux'), ('use', 'VERB', 'VB', 'xcomp'), ('and', 'CCONJ', 'CC', 'cc'), ('is', 'VERB', 'VBZ', 'conj'), ('absolutely', 'ADV', 'RB', 'advmod'), ('gorgeous', 'ADJ', 'JJ', 'acomp')]"
"['easy', 'to', 'start', 'up', 'and', 'does', 'not', 'overheat', 'as', 'much', 'as', 'other', 'laptops']","[3, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[('easy', 'ADJ', 'JJ', 'ROOT'), ('to', 'PART', 'TO', 'aux'), ('start', 'VERB', 'VB', 'xcomp'), ('up', 'PART', 'RP', 'prt'), ('and', 'CCONJ', 'CC', 'cc'), ('does', 'VERB', 'VBZ', 'aux'), ('not', 'ADV', 'RB', 'neg'), ('overheat', 'VERB', 'VB', 'conj'), ('as', 'ADV', 'RB', 'advmod'), ('much', 'ADJ', 'JJ', 'advmod'), ('as', 'ADP', 'IN', 'prep'), ('other', 'ADJ', 'JJ', 'amod'), ('laptops', 'NOUN', 'NNS', 'pobj')]"
"['sad', 'very', 'sad']","[3, 5, 5]","[('sad', 'ADJ', 'JJ', 'advmod'), ('very', 'ADV', 'RB', 'advmod'), ('sad', 'ADJ', 'JJ', 'ROOT')]"
"['i', 'even', 'got', 'my', 'teenage', 'son', 'one', 'because', 'of', 'the', 'features', 'that', 'it', 'offers', 'like', 'ichat', 'photobooth', 'garage', 'band', 'and', 'more']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3]","[('i', 'PRON', 'PRP', 'nsubj'), ('even', 'ADV', 'RB', 'advmod'), ('got', 'VERB', 'VBD', 'ROOT'), ('my', 'ADJ', 'PRP$', 'poss'), ('teenage', 'ADJ', 'JJ', 'amod'), ('son', 'NOUN', 'NN', 'dobj'), ('one', 'NUM', 'CD', 'appos'), ('because', 'ADP', 'IN', 'prep'), ('of', 'ADP', 'IN', 'pcomp'), ('the', 'DET', 'DT', 'det'), ('features', 'NOUN', 'NNS', 'pobj'), ('that', 'ADJ', 'WDT', 'dobj'), ('it', 'PRON', 'PRP', 'nsubj'), ('offers', 'VERB', 'VBZ', 'relcl'), ('like', 'ADP', 'IN', 'prep'), ('ichat', 'DET', 'DT', 'det'), ('photobooth', 'ADJ', 'JJ', 'amod'), ('garage', 'NOUN', 'NN', 'compound'), ('band', 'NOUN', 'NN', 'pobj'), ('and', 'CCONJ', 'CC', 'cc'), ('more', 'ADJ', 'JJR', 'conj')]"
"['needless', 'to', 'say', 'a', 'pc', 'that', 'cant', 'support', 'a', 'cell', 'phone', 'is', 'less', 'than', 'useless']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3]","[('needless', 'ADJ', 'JJ', 'ROOT'), ('to', 'PART', 'TO', 'aux'), ('say', 'VERB', 'VB', 'xcomp'), ('a', 'DET', 'DT', 'det'), ('pc', 'NOUN', 'NN', 'nsubj'), ('that', 'ADJ', 'WDT', 'nsubj'), ('ca', 'VERB', 'MD', 'aux'), ('nt', 'ADV', 'RB', 'advmod'), ('support', 'VERB', 'VB', 'relcl'), ('a', 'DET', 'DT', 'det'), ('cell', 'NOUN', 'NN', 'compound'), ('phone', 'NOUN', 'NN', 'dobj'), ('is', 'VERB', 'VBZ', 'ccomp'), ('less', 'ADJ', 'JJR', 'acomp'), ('than', 'ADP', 'IN', 'prep'), ('useless', 'ADJ', 'JJ', 'amod')]"
