Sentence,Sequence
"['i', 'charge', 'it', 'at', 'night', 'and', 'skip', 'taking', 'the', 'cord', 'with', 'me', 'because', 'of', 'the', 'good', 'battery', 'life']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 3, 1, 2]"
"['i', 'bought', 'a', 'hp', 'pavilion', 'dv41222nr', 'laptop', 'and', 'have', 'had', 'so', 'many', 'problems', 'with', 'the', 'computer']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'tech', 'guy', 'then', 'said', 'the', 'service', 'center', 'does', 'not', 'do', '1to1', 'exchange', 'and', 'i', 'have', 'to', 'direct', 'my', 'concern', 'to', 'the', 'sales', 'team', 'which', 'is', 'the', 'retail', 'shop', 'which', 'i', 'bought', 'my', 'netbook', 'from']","[5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'investigated', 'netbooks', 'and', 'saw', 'the', 'toshiba', 'nb305n410bl']","[5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'other', 'day', 'i', 'had', 'a', 'presentation', 'to', 'do', 'for', 'a', 'seminar', 'at', 'a', 'large', 'conference', 'in', 'town', 'lots', 'of', 'people', 'little', 'time', 'to', 'prep', 'and', 'have', 'to', 'set', 'up', 'a', 'computer', 'to', 'a', 'projector', 'etc']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['it', 'is', 'of', 'high', 'quality', 'has', 'a', 'killer', 'gui', 'is', 'extremely', 'stable', 'is', 'highly', 'expandable', 'is', 'bundled', 'with', 'lots', 'of', 'very', 'good', 'applications', 'is', 'easy', 'to', 'use', 'and', 'is', 'absolutely', 'gorgeous']","[5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 3, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 5, 3, 5, 5, 5, 5, 5, 3]"
"['easy', 'to', 'start', 'up', 'and', 'does', 'not', 'overheat', 'as', 'much', 'as', 'other', 'laptops']","[3, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['sad', 'very', 'sad']","[3, 5, 5]"
"['i', 'even', 'got', 'my', 'teenage', 'son', 'one', 'because', 'of', 'the', 'features', 'that', 'it', 'offers', 'like', 'ichat', 'photobooth', 'garage', 'band', 'and', 'more']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3]"
"['needless', 'to', 'say', 'a', 'pc', 'that', 'cant', 'support', 'a', 'cell', 'phone', 'is', 'less', 'than', 'useless']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3]"
"['great', 'laptop', 'that', 'offers', 'many', 'great', 'features']","[3, 5, 5, 5, 5, 3, 1]"
"['they', 'have', 'done', 'absolutely', 'nothing', 'to', 'fix', 'the', 'computer', 'problem']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
