Sentence,Sequence
"['i', 'charge|VERB', 'it', 'at', 'night|NOUN', 'and', 'skip|VERB', 'taking|VERB', 'the', 'cord|NOUN', 'with', 'me', 'because', 'of', 'the', 'good|ADJ', 'battery|NOUN', 'life|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 3, 1, 2, 5]"
"['i', 'bought|VERB', 'a', 'hp|ADJ', 'pavilion|NOUN', 'dv4', ' <HYPHEN> ', '1222nr', 'laptop|NOUN', 'and', 'have|VERB', 'had|VERB', 'so', 'many|ADJ', 'problems|NOUN', 'with', 'the', 'computer|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'tech|NOUN', 'guy|NOUN', 'then', 'said|VERB', 'the', 'service|NOUN', 'center|NOUN', 'does|VERB', 'not', 'do|VERB', '1-to-1', 'exchange|NOUN', 'and', 'i', 'have|VERB', 'to', 'direct|VERB', 'my|ADJ', 'concern|NOUN', 'to', 'the', ' <QUOTATION_MARK> ', 'sales|NOUN', ' <QUOTATION_MARK> ', 'team|NOUN', ' <COMMA> ', 'which|ADJ', 'is|VERB', 'the', 'retail|ADJ', 'shop|NOUN', 'which|ADJ', 'i', 'bought|VERB', 'my|ADJ', 'netbook|NOUN', 'from', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'investigated|VERB', 'netbooks|NOUN', 'and', 'saw|VERB', 'the', 'toshiba|NOUN', 'nb305-n410bl|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'other|ADJ', 'day|NOUN', 'i', 'had|VERB', 'a', 'presentation|NOUN', 'to', 'do|VERB', 'for', 'a', 'seminar|NOUN', 'at', 'a', 'large|ADJ', 'conference|NOUN', 'in', 'town-|NOUN', 'lots|NOUN', 'of', 'people|NOUN', ' <COMMA> ', 'little|ADJ', 'time|NOUN', 'to', 'prep|VERB', 'and', 'have|VERB', 'to', 'set|VERB', 'up', 'a', 'computer|NOUN', 'to', 'a', 'projector|NOUN', ' <COMMA> ', 'etc', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['it', 'is|VERB', 'of', 'high|ADJ', 'quality|NOUN', ' <COMMA> ', 'has|VERB', 'a', 'killer|NOUN', 'gui|NOUN', ' <COMMA> ', 'is|VERB', 'extremely', 'stable|ADJ', ' <COMMA> ', 'is|VERB', 'highly', 'expandable|ADJ', ' <COMMA> ', 'is|VERB', 'bundled|VERB', 'with', 'lots|NOUN', 'of', 'very', 'good|ADJ', 'applications|NOUN', ' <COMMA> ', 'is|VERB', 'easy|ADJ', 'to', 'use|VERB', ' <COMMA> ', 'and', 'is|VERB', 'absolutely', 'gorgeous|ADJ', ' <PERIOD> ']","[5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5]"
"['easy|ADJ', 'to', 'start|VERB', 'up', 'and', 'does|VERB', 'not', 'overheat|VERB', 'as', 'much|ADJ', 'as', 'other|ADJ', 'laptops|NOUN', ' <PERIOD> ']","[3, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['sad|ADJ', 'very', 'sad|ADJ', ' <PERIOD> ']","[3, 5, 5, 5]"
"['i', 'even', 'got|VERB', 'my|ADJ', 'teenage|ADJ', 'son|NOUN', 'one', ' <COMMA> ', 'because', 'of', 'the', 'features|NOUN', 'that|ADJ', 'it', 'offers|VERB', ' <COMMA> ', 'like', ' <COMMA> ', 'ichat|NOUN', ' <COMMA> ', 'photobooth|ADJ', ' <COMMA> ', 'garage|NOUN', 'band|NOUN', 'and', 'more|ADJ', ' <EXCLAMATION_MARK> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
"['needless|ADJ', 'to', 'say|VERB', 'a', 'pc|NOUN', 'that|ADJ', 'ca|VERB', ""n't"", 'support|VERB', 'a', 'cell|NOUN', 'phone|NOUN', 'is|VERB', 'less|ADJ', 'than', 'useless|ADJ', ' <EXCLAMATION_MARK> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
"['great|ADJ', 'laptop|NOUN', 'that|ADJ', 'offers|VERB', 'many|ADJ', 'great|ADJ', 'features|NOUN', ' <EXCLAMATION_MARK> ']","[3, 5, 5, 5, 5, 3, 1, 5]"
"['they', 'have|VERB', 'done|VERB', 'absolutely', 'nothing|NOUN', 'to', 'fix|VERB', 'the', 'computer|NOUN', 'problem|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['one', 'night|NOUN', 'i', 'turned|VERB', 'the', 'freaking|VERB', 'thing|NOUN', 'off', 'after', 'using|VERB', 'it', ' <COMMA> ', 'the', 'next|ADJ', 'day|NOUN', 'i', 'turn|VERB', 'it', 'on', ' <COMMA> ', 'no', 'gui|NOUN', ' <COMMA> ', 'screen|NOUN', 'all', 'dark|ADJ', ' <COMMA> ', 'power|NOUN', 'light|NOUN', 'steady|ADJ', ' <COMMA> ', 'hard|ADJ', 'drive|NOUN', 'light|NOUN', 'steady|ADJ', 'and', 'not', 'flashing|VERB', 'as', 'it', 'usually', 'does|VERB', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5]"
"['still', 'pretty', 'pricey|ADJ', ' <COMMA> ', 'but', 'i', ""'ve|VERB"", 'been|VERB', 'putting|VERB', 'off', 'money|NOUN', 'for', 'a', 'while|NOUN', 'as', 'a', 'little|ADJ', 'macbook|NOUN', 'fund|NOUN', ' <COMMA> ', 'and', 'finally', 'got|VERB', 'to', 'use|VERB', 'it', ' <PERIOD> ']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['my|ADJ', 'only|ADJ', 'disappointment|NOUN', 'with', 'the', '13', ' <QUOTATION_MARK> ', 'model|NOUN', 'is|VERB', 'that', 'they', ""'re|VERB"", 'the', 'only|ADJ', 'ones|NOUN', 'in', 'the', 'macbook|NOUN', 'pro|ADJ', 'line|NOUN', 'up', 'without', 'an', 'i5|NOUN', 'or', 'i7|ADJ', 'processor|NOUN', 'and', 'dual|ADJ', 'graphics|NOUN', 'cards|NOUN', ' <COMMA> ', 'however', 'the', 'trade|NOUN', ' <HYPHEN> ', 'off|NOUN', 'is|VERB', 'that', 'you', 'achieve|VERB', 'a', 'longer|ADJ', 'battery|NOUN', 'life|NOUN', ' <LEFT PARENTHESIS> ', 'of', 'about', '2', 'more|ADJ', 'hours|NOUN', ' <RIGHT PARENTHESIS> ', ' <PERIOD> ']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 1, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'took|VERB', 'it', 'back', 'for', 'an', 'asus|NOUN', 'and', 'same|ADJ', 'thing-|NOUN', 'blue|ADJ', 'screen|NOUN', 'which|ADJ', 'required|VERB', 'me', 'to', 'remove|VERB', 'the', 'battery|NOUN', 'to', 'reset|VERB', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5]"
"['in', 'the', 'shop|NOUN', ' <COMMA> ', 'these', 'macbooks|NOUN', 'are|VERB', 'encased|VERB', 'in', 'a', 'soft|ADJ', 'rubber|NOUN', 'enclosure|NOUN', ' <HYPHEN> ', 'so', 'you', 'will|VERB', 'never', 'know|VERB', 'about', 'the', 'razor|NOUN', 'edge|NOUN', 'until', 'you', 'buy|VERB', 'it', ' <COMMA> ', 'get|VERB', 'it', 'home', ' <COMMA> ', 'break|VERB', 'the', 'seal|NOUN', 'and', 'use|VERB', 'it', ' <LEFT PARENTHESIS> ', 'very', 'clever|ADJ', 'con|NOUN', ' <RIGHT PARENTHESIS> ', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
