Sentence,Sequence
"[u'I', u'charge', u'it', u'at', u'night', u'and', u'skip', u'taking', u'the', u'cord', u'with', u'me', u'because', u'of', u'the', u'good', u'battery', u'life', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 3, 1, 2, 5]"
"[u'I', u'bought', u'a', u'HP', u'Pavilion', u'DV4', u'-', u'1222nr', u'laptop', u'and', u'have', u'had', u'so', u'many', u'problems', u'with', u'the', u'computer', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'The', u'tech', u'guy', u'then', u'said', u'the', u'service', u'center', u'does', u'not', u'do', u'1-to-1', u'exchange', u'and', u'I', u'have', u'to', u'direct', u'my', u'concern', u'to', u'the', u'""', u'sales', u'""', u'team', u',', u'which', u'is', u'the', u'retail', u'shop', u'which', u'I', u'bought', u'my', u'netbook', u'from', u'.']","[5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'I', u'investigated', u'netbooks', u'and', u'saw', u'the', u'Toshiba', u'NB305-N410BL', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'The', u'other', u'day', u'I', u'had', u'a', u'presentation', u'to', u'do', u'for', u'a', u'seminar', u'at', u'a', u'large', u'conference', u'in', u'town-', u'lots', u'of', u'people', u',', u'little', u'time', u'to', u'prep', u'and', u'have', u'to', u'set', u'up', u'a', u'computer', u'to', u'a', u'projector', u',', u'etc', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'it', u'is', u'of', u'high', u'quality', u',', u'has', u'a', u'killer', u'GUI', u',', u'is', u'extremely', u'stable', u',', u'is', u'highly', u'expandable', u',', u'is', u'bundled', u'with', u'lots', u'of', u'very', u'good', u'applications', u',', u'is', u'easy', u'to', u'use', u',', u'and', u'is', u'absolutely', u'gorgeous', u'.']","[5, 5, 5, 3, 1, 5, 5, 5, 5, 1, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3, 1, 5, 5, 3, 5, 1, 5, 5, 5, 5, 3, 5]"
"[u'Easy', u'to', u'start', u'up', u'and', u'does', u'not', u'overheat', u'as', u'much', u'as', u'other', u'laptops', u'.']","[5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'Sad', u'very', u'SAD', u'.']","[5, 5, 5, 5]"
"[u'I', u'even', u'got', u'my', u'teenage', u'son', u'one', u',', u'because', u'of', u'the', u'features', u'that', u'it', u'offers', u',', u'like', u',', u'iChat', u',', u'Photobooth', u',', u'garage', u'band', u'and', u'more', u'!']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 1, 5, 1, 5, 1, 2, 5, 3, 5]"
"[u'Needless', u'to', u'say', u'a', u'PC', u'that', u'ca', u""n't"", u'support', u'a', u'cell', u'phone', u'is', u'less', u'than', u'useless', u'!']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
"[u'Great', u'laptop', u'that', u'offers', u'many', u'great', u'features', u'!']","[5, 5, 5, 5, 5, 3, 1, 5]"
"[u'they', u'have', u'done', u'absolutely', u'nothing', u'to', u'fix', u'the', u'computer', u'problem', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'One', u'night', u'I', u'turned', u'the', u'freaking', u'thing', u'off', u'after', u'using', u'it', u',', u'the', u'next', u'day', u'I', u'turn', u'it', u'on', u',', u'no', u'GUI', u',', u'screen', u'all', u'dark', u',', u'power', u'light', u'steady', u',', u'hard', u'drive', u'light', u'steady', u'and', u'not', u'flashing', u'as', u'it', u'usually', u'does', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 1, 5, 1, 5, 3, 5, 1, 2, 3, 5, 1, 2, 2, 3, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'Still', u'pretty', u'pricey', u',', u'but', u'I', u""'ve"", u'been', u'putting', u'off', u'money', u'for', u'a', u'while', u'as', u'a', u'little', u'Macbook', u'Fund', u',', u'and', u'finally', u'got', u'to', u'use', u'it', u'.']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'My', u'only', u'disappointment', u'with', u'the', u'13', u'""', u'model', u'is', u'that', u'they', u""'re"", u'the', u'only', u'ones', u'in', u'the', u'MacBook', u'Pro', u'line', u'up', u'without', u'an', u'i5', u'or', u'i7', u'processor', u'and', u'dual', u'graphics', u'cards', u',', u'however', u'the', u'trade', u'-', u'off', u'is', u'that', u'you', u'achieve', u'a', u'longer', u'battery', u'life', u'(', u'of', u'about', u'2', u'more', u'hours', u')', u'.']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 1, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'I', u'took', u'it', u'back', u'for', u'an', u'Asus', u'and', u'same', u'thing-', u'blue', u'screen', u'which', u'required', u'me', u'to', u'remove', u'the', u'battery', u'to', u'reset', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5]"
