Sentence,Sequence
"['but', 'the', 'staff', 'was', 'so', 'horrible', 'to', 'us']","[5, 5, 1, 5, 5, 3, 5, 5]"
"['to', 'be', 'completely', 'fair', 'the', 'only', 'redeeming', 'factor', 'was', 'the', 'food', 'which', 'was', 'above', 'average', 'but', 'couldnt', 'make', 'up', 'for', 'all', 'the', 'other', 'deficiencies', 'of', 'teodora']","[5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 1, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'food', 'is', 'uniformly', 'exceptional', 'with', 'a', 'very', 'capable', 'kitchen', 'which', 'will', 'proudly', 'whip', 'up', 'whatever', 'you', 'feel', 'like', 'eating', 'whether', 'its', 'on', 'the', 'menu', 'or', 'not']","[5, 1, 5, 5, 3, 5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5]"
"['where', 'gabriela', 'personaly', 'greets', 'you', 'and', 'recommends', 'you', 'what', 'to', 'eat']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['for', 'those', 'that', 'go', 'once', 'and', 'dont', 'enjoy', 'it', 'all', 'i', 'can', 'say', 'is', 'that', 'they', 'just', 'dont', 'get', 'it']","[5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['not', 'only', 'was', 'the', 'food', 'outstanding', 'but', 'the', 'little', 'perks', 'were', 'great']","[5, 5, 5, 5, 1, 3, 5, 5, 5, 1, 5, 3]"
"['it', 'is', 'very', 'overpriced', 'and', 'not', 'very', 'tasty']","[5, 5, 5, 3, 5, 5, 5, 3]"
"['our', 'agreed', 'favorite', 'is', 'the', 'orrechiete', 'with', 'sausage', 'and', 'chicken', 'usually', 'the', 'waiters', 'are', 'kind', 'enough', 'to', 'split', 'the', 'dish', 'in', 'half', 'so', 'you', 'get', 'to', 'sample', 'both', 'meats']","[5, 5, 3, 5, 5, 1, 2, 2, 2, 2, 5, 5, 1, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1]"
"['the', 'bagels', 'have', 'an', 'outstanding', 'taste', 'with', 'a', 'terrific', 'texture', 'both', 'chewy', 'yet', 'not', 'gummy']","[5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 3, 5, 5, 3]"
"['nevertheless', 'the', 'food', 'itself', 'is', 'pretty', 'good']","[5, 5, 1, 5, 5, 5, 3]"
"['ive', 'noticed', 'megadeth', 'mr', 'scruff', 'st', 'germain', 'traditional', 'vietnamese', 'songs', 'black', 'sabbath', 'jayz', 'and', 'daft', 'punk', 'all', 'being', 'played']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['they', 'did', 'not', 'have', 'mayonnaise', 'forgot', 'our', 'toast', 'left', 'out', 'ingredients', 'ie', 'cheese', 'in', 'an', 'omelet', 'below', 'hot', 'temperatures', 'and', 'the', 'bacon', 'was', 'so', 'over', 'cooked', 'it', 'crumbled', 'on', 'the', 'plate', 'when', 'you', 'touched', 'it']","[5, 5, 5, 5, 5, 3, 5, 1, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['it', 'took', 'half', 'an', 'hour', 'to', 'get', 'our', 'check', 'which', 'was', 'perfect', 'since', 'we', 'could', 'sit', 'have', 'drinks', 'and', 'talk']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 1, 5, 5]"
"['the', 'design', 'and', 'atmosphere', 'is', 'just', 'as', 'good']","[5, 1, 5, 1, 5, 5, 5, 3]"
"['he', 'has', 'visited', 'thailand', 'and', 'is', 'quite', 'expert', 'on', 'the', 'cuisine']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1]"
"['i', 'would', 'definitely', 'recommend', 'marys', 'and', 'am', 'making', 'it', 'one', 'of', 'my', 'regular', 'neighborhood', 'haunts']","[5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'pizza', 'is', 'the', 'best', 'if', 'you', 'like', 'thin', 'crusted', 'pizza']","[5, 1, 5, 5, 3, 5, 5, 5, 1, 2, 2]"
"['my', 'girlfriend', 'and', 'i', 'stumbled', 'onto', 'this', 'hopping', 'place', 'the', 'other', 'night', 'and', 'had', 'a', 'great', 'time']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
"['he', 'cant', 'help', 'theyre', 'bought', 'up', 'so', 'fast']","[5, 5, 5, 5, 5, 5, 5, 3]"
"['secondly', 'on', 'this', 'night', 'the', 'place', 'was', 'overwhelmed', 'by', 'upper', 'east', 'side', 'ladies', 'perfume']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'have', 'eaten', 'here', 'a', 'handful', 'of', 'times', 'for', 'no', 'reason', 'besides', 'sheer', 'convenience']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['obviously', 'run', 'by', 'folks', 'who', 'know', 'a', 'pie']","[5, 5, 5, 5, 5, 5, 5, 5]"
"['we', 'were', 'very', 'disappointed']","[5, 5, 5, 3]"
"['it', 'is', 'definitely', 'special', 'and', 'affordable']","[5, 5, 5, 3, 5, 3]"
"['i', 'really', 'liked', 'this', 'place']","[5, 5, 3, 5, 5]"
"['i', 'will', 'be', 'going', 'back', 'very', 'soon']","[5, 5, 5, 5, 5, 5, 5]"
"['all', 'the', 'money', 'went', 'into', 'the', 'interior', 'decoration', 'none', 'of', 'it', 'went', 'to', 'the', 'chefs']","[5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 1]"
"['the', 'seats', 'are', 'uncomfortable', 'if', 'you', 'are', 'sitting', 'against', 'the', 'wall', 'on', 'wooden', 'benches']","[5, 1, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'asked', 'for', 'seltzer', 'with', 'lime', 'no', 'ice']","[5, 5, 5, 1, 2, 2, 5, 5]"
"['it', 'was', 'pretty', 'inexpensive', 'too']","[5, 5, 5, 3, 5]"
