Sentence,Sequence
"['but', 'the', 'staff', 'was', 'so', 'horrible', 'to', 'us', ' <PERIOD> ']","[5, 5, 1, 5, 5, 3, 5, 5, 5]"
"['to', 'be', 'completely', 'fair', ' <COMMA> ', 'the', 'only', 'redeeming', 'factor', 'was', 'the', 'food', ' <COMMA> ', 'which', 'was', 'above', 'average', ' <COMMA> ', 'but', 'could', ""n't"", 'make', 'up', 'for', 'all', 'the', 'other', 'deficiencies', 'of', 'teodora', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 1, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'food', 'is', 'uniformly', 'exceptional', ' <COMMA> ', 'with', 'a', 'very', 'capable', 'kitchen', 'which', 'will', 'proudly', 'whip', 'up', 'whatever', 'you', 'feel', 'like', 'eating', ' <COMMA> ', 'whether', 'it', ""'s"", 'on', 'the', 'menu', 'or', 'not', ' <PERIOD> ']","[5, 1, 5, 5, 3, 5, 5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5]"
"['where', 'gabriela', 'personaly', 'greets', 'you', 'and', 'recommends', 'you', 'what', 'to', 'eat', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['for', 'those', 'that', 'go', 'once', 'and', 'do', ""n't"", 'enjoy', 'it', ' <COMMA> ', 'all', 'i', 'can', 'say', 'is', 'that', 'they', 'just', 'do', ""n't"", 'get', 'it', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['not', 'only', 'was', 'the', 'food', 'outstanding', ' <COMMA> ', 'but', 'the', 'little', ""'"", 'perks', ""'"", 'were', 'great', ' <PERIOD> ']","[5, 5, 5, 5, 1, 3, 5, 5, 5, 5, 5, 1, 5, 5, 3, 5]"
"['it', 'is', 'very', 'overpriced', 'and', 'not', 'very', 'tasty', ' <PERIOD> ']","[5, 5, 5, 3, 5, 5, 5, 3, 5]"
"['our', 'agreed', 'favorite', 'is', 'the', 'orrechiete', 'with', 'sausage', 'and', 'chicken', ' <LEFT PARENTHESIS> ', 'usually', 'the', 'waiters', 'are', 'kind', 'enough', 'to', 'split', 'the', 'dish', 'in', 'half', 'so', 'you', 'get', 'to', 'sample', 'both', 'meats', ' <RIGHT PARENTHESIS> ', ' <PERIOD> ']","[5, 5, 3, 5, 5, 1, 2, 2, 2, 2, 5, 5, 5, 1, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5]"
"['the', 'bagels', 'have', 'an', 'outstanding', 'taste', 'with', 'a', 'terrific', 'texture', ' <COMMA> ', 'both', 'chewy', 'yet', 'not', 'gummy', ' <PERIOD> ']","[5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 3, 5]"
"['nevertheless', 'the', 'food', 'itself', 'is', 'pretty', 'good', ' <PERIOD> ']","[5, 5, 1, 5, 5, 5, 3, 5]"
"['i', ""'ve"", 'noticed', 'megadeth', ' <COMMA> ', 'mr', ' <PERIOD> ', 'scruff', ' <COMMA> ', 'st', ' <PERIOD> ', 'germain', ' <COMMA> ', 'traditional', 'vietnamese', 'songs', ' <COMMA> ', 'black', 'sabbath', ' <COMMA> ', 'jay', ' <HYPHEN> ', 'z', ' <COMMA> ', 'and', 'daft', 'punk', 'all', 'being', 'played', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['they', 'did', 'not', 'have', 'mayonnaise', ' <COMMA> ', 'forgot', 'our', 'toast', ' <COMMA> ', 'left', 'out', 'ingredients', ' <LEFT PARENTHESIS> ', 'ie', 'cheese', 'in', 'an', 'omelet', ' <RIGHT PARENTHESIS> ', ' <COMMA> ', 'below', 'hot', 'temperatures', 'and', 'the', 'bacon', 'was', 'so', 'over', 'cooked', 'it', 'crumbled', 'on', 'the', 'plate', 'when', 'you', 'touched', 'it', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 3, 5, 1, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['it', 'took', 'half', 'an', 'hour', 'to', 'get', 'our', 'check', ' <COMMA> ', 'which', 'was', 'perfect', 'since', 'we', 'could', 'sit', ' <COMMA> ', 'have', 'drinks', 'and', 'talk', ' <EXCLAMATION_MARK> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5]"
"['the', 'design', 'and', 'atmosphere', 'is', 'just', 'as', 'good', ' <PERIOD> ']","[5, 1, 5, 1, 5, 5, 5, 3, 5]"
"['he', 'has', 'visited', 'thailand', 'and', 'is', 'quite', 'expert', 'on', 'the', 'cuisine', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5]"
"['i', 'would', 'definitely', 'recommend', 'mary', ""'s"", 'and', 'am', 'making', 'it', 'one', 'of', 'my', 'regular', 'neighborhood', 'haunts', ' <PERIOD> ']","[5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'pizza', 'is', 'the', 'best', 'if', 'you', 'like', 'thin', 'crusted', 'pizza', ' <PERIOD> ']","[5, 1, 5, 5, 3, 5, 5, 5, 1, 2, 2, 5]"
"['my', 'girlfriend', 'and', 'i', 'stumbled', 'onto', 'this', 'hopping', 'place', 'the', 'other', 'night', 'and', 'had', 'a', 'great', 'time', ' <EXCLAMATION_MARK> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5]"
"['he', 'ca', ""n't"", 'help', ' <COMMA> ', 'they', ""'re"", 'bought', 'up', 'so', 'fast', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
"['secondly', ' <COMMA> ', 'on', 'this', 'night', 'the', 'place', 'was', 'overwhelmed', 'by', 'upper', 'east', 'side', 'ladies', 'perfume', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'have', 'eaten', 'here', 'a', 'handful', 'of', 'times', ' <COMMA> ', 'for', 'no', 'reason', 'besides', 'sheer', 'convenience', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['obviously', 'run', 'by', 'folks', 'who', 'know', 'a', 'pie', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['we', 'were', 'very', 'disappointed', ' <PERIOD> ']","[5, 5, 5, 3, 5]"
"['it', 'is', 'definitely', 'special', 'and', 'affordable', ' <PERIOD> ']","[5, 5, 5, 3, 5, 3, 5]"
"['i', 'really', 'liked', 'this', 'place', ' <PERIOD> ']","[5, 5, 3, 5, 5, 5]"
"['i', 'will', 'be', 'going', 'back', 'very', 'soon', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5]"
"['all', 'the', 'money', 'went', 'into', 'the', 'interior', 'decoration', ' <COMMA> ', 'none', 'of', 'it', 'went', 'to', 'the', 'chefs', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 1, 5]"
"['the', 'seats', 'are', 'uncomfortable', 'if', 'you', 'are', 'sitting', 'against', 'the', 'wall', 'on', 'wooden', 'benches', ' <PERIOD> ']","[5, 1, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'asked', 'for', 'seltzer', 'with', 'lime', ' <COMMA> ', 'no', 'ice', ' <PERIOD> ']","[5, 5, 5, 1, 2, 2, 5, 5, 5, 5]"
"['it', 'was', 'pretty', 'inexpensive', 'too', ' <PERIOD> ']","[5, 5, 5, 3, 5, 5]"
"['will', 'not', 'be', 'back', ' <PERIOD> ']","[5, 5, 5, 5, 5]"
"['do', ""n't"", 'go', 'alone', '---', 'even', 'two', 'people', 'is', ""n't"", 'enough', 'for', 'the', 'whole', 'experience', ' <COMMA> ', 'with', 'pickles', 'and', 'a', 'selection', 'of', 'meats', 'and', 'seafoods', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 1, 2, 2, 2, 2, 5]"
"['my', 'suggestion', 'is', 'to', 'eat', 'family', 'style', 'because', 'you', ""'ll"", 'want', 'to', 'try', 'the', 'other', 'dishes', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5]"
"['best', 'of', 'all', 'is', 'the', 'warm', 'vibe', ' <COMMA> ', 'the', 'owner', 'is', 'super', 'friendly', 'and', 'service', 'is', 'fast', ' <PERIOD> ']","[3, 5, 5, 5, 5, 3, 1, 5, 5, 1, 5, 5, 3, 5, 1, 5, 3, 5]"
"['this', 'is', ""n't"", 'a', 'value', 'joint', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5]"
"['faan', ""'s"", 'got', 'a', 'great', 'concept', 'but', 'a', 'little', 'rough', 'on', 'the', 'delivery', ' <PERIOD> ']","[5, 5, 5, 5, 3, 5, 5, 5, 5, 3, 5, 5, 1, 5]"
