Sentence,Sequence
"['But', 'the', 'staff', 'was', 'so', 'horrible', 'to', 'us']","[5, 5, 1, 5, 5, 3, 5, 5]"
"['To', 'be', 'completely', 'fair', 'the', 'only', 'redeeming', 'factor', 'was', 'the', 'food', 'which', 'was', 'above', 'average', 'but', 'couldnt', 'make', 'up', 'for', 'all', 'the', 'other', 'deficiencies', 'of', 'Teodora']","[5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 1, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['The', 'food', 'is', 'uniformly', 'exceptional', 'with', 'a', 'very', 'capable', 'kitchen', 'which', 'will', 'proudly', 'whip', 'up', 'whatever', 'you', 'feel', 'like', 'eating', 'whether', 'its', 'on', 'the', 'menu', 'or', 'not']","[5, 1, 5, 5, 3, 5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5]"
"['Where', 'Gabriela', 'personaly', 'greets', 'you', 'and', 'recommends', 'you', 'what', 'to', 'eat']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['For', 'those', 'that', 'go', 'once', 'and', 'dont', 'enjoy', 'it', 'all', 'I', 'can', 'say', 'is', 'that', 'they', 'just', 'dont', 'get', 'it']","[5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['Not', 'only', 'was', 'the', 'food', 'outstanding', 'but', 'the', 'little', 'perks', 'were', 'great']","[5, 5, 5, 5, 1, 3, 5, 5, 5, 1, 5, 3]"
"['It', 'is', 'very', 'overpriced', 'and', 'not', 'very', 'tasty']","[5, 5, 5, 3, 5, 5, 5, 3]"
"['Our', 'agreed', 'favorite', 'is', 'the', 'orrechiete', 'with', 'sausage', 'and', 'chicken', 'usually', 'the', 'waiters', 'are', 'kind', 'enough', 'to', 'split', 'the', 'dish', 'in', 'half', 'so', 'you', 'get', 'to', 'sample', 'both', 'meats']","[5, 5, 3, 5, 5, 1, 2, 2, 2, 2, 5, 5, 1, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1]"
"['The', 'Bagels', 'have', 'an', 'outstanding', 'taste', 'with', 'a', 'terrific', 'texture', 'both', 'chewy', 'yet', 'not', 'gummy']","[5, 1, 5, 5, 3, 5, 5, 5, 3, 5, 5, 3, 5, 5, 3]"
"['Nevertheless', 'the', 'food', 'itself', 'is', 'pretty', 'good']","[5, 5, 1, 5, 5, 5, 3]"
"['ive', 'noticed', 'megadeth', 'mr', 'scruff', 'st', 'germain', 'traditional', 'vietnamese', 'songs', 'black', 'sabbath', 'jayz', 'and', 'daft', 'punk', 'all', 'being', 'played']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['They', 'did', 'not', 'have', 'mayonnaise', 'forgot', 'our', 'toast', 'left', 'out', 'ingredients', 'ie', 'cheese', 'in', 'an', 'omelet', 'below', 'hot', 'temperatures', 'and', 'the', 'bacon', 'was', 'so', 'over', 'cooked', 'it', 'crumbled', 'on', 'the', 'plate', 'when', 'you', 'touched', 'it']","[5, 5, 5, 5, 5, 3, 5, 1, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['It', 'took', 'half', 'an', 'hour', 'to', 'get', 'our', 'check', 'which', 'was', 'perfect', 'since', 'we', 'could', 'sit', 'have', 'drinks', 'and', 'talk']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 1, 5, 5]"
"['The', 'design', 'and', 'atmosphere', 'is', 'just', 'as', 'good']","[5, 1, 5, 1, 5, 5, 5, 3]"
"['He', 'has', 'visited', 'Thailand', 'and', 'is', 'quite', 'expert', 'on', 'the', 'cuisine']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1]"
"['I', 'would', 'definitely', 'recommend', 'Marys', 'and', 'am', 'making', 'it', 'one', 'of', 'my', 'regular', 'neighborhood', 'haunts']","[5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['The', 'pizza', 'is', 'the', 'best', 'if', 'you', 'like', 'thin', 'crusted', 'pizza']","[5, 1, 5, 5, 3, 5, 5, 5, 1, 2, 2]"
"['My', 'Girlfriend', 'and', 'I', 'stumbled', 'onto', 'this', 'hopping', 'place', 'the', 'other', 'night', 'and', 'had', 'a', 'great', 'time']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
"['He', 'cant', 'help', 'theyre', 'bought', 'up', 'so', 'fast']","[5, 5, 5, 5, 5, 5, 5, 3]"
"['Secondly', 'on', 'this', 'night', 'the', 'place', 'was', 'overwhelmed', 'by', 'upper', 'east', 'side', 'ladies', 'perfume']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'have', 'eaten', 'here', 'a', 'handful', 'of', 'times', 'for', 'no', 'reason', 'besides', 'sheer', 'convenience']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['Obviously', 'run', 'by', 'folks', 'who', 'know', 'a', 'pie']","[5, 5, 5, 5, 5, 5, 5, 5]"
"['We', 'were', 'very', 'disappointed']","[5, 5, 5, 3]"
"['IT', 'IS', 'DEFINITELY', 'SPECIAL', 'AND', 'AFFORDABLE']","[5, 5, 5, 5, 5, 5]"
"['I', 'really', 'liked', 'this', 'place']","[5, 5, 3, 5, 5]"
"['I', 'will', 'be', 'going', 'back', 'very', 'soon']","[5, 5, 5, 5, 5, 5, 5]"
"['All', 'the', 'money', 'went', 'into', 'the', 'interior', 'decoration', 'none', 'of', 'it', 'went', 'to', 'the', 'chefs']","[5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 1]"
"['The', 'seats', 'are', 'uncomfortable', 'if', 'you', 'are', 'sitting', 'against', 'the', 'wall', 'on', 'wooden', 'benches']","[5, 1, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['I', 'asked', 'for', 'seltzer', 'with', 'lime', 'no', 'ice']","[5, 5, 5, 1, 2, 2, 5, 5]"
