,ID,Sentence,Aspects,Aspect_Polarities,Opinions,Opinion_Polarities
0,2339,I charge it at night and skip taking the cord with me because of the good battery life.,cord;battery life,neutral;positive,good,+1
1,812,I bought a HP Pavilion DV4-1222nr laptop and have had so many problems with the computer.,NIL,NIL,NIL,NIL
2,1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","service center;""sales"" team;tech guy",negative;negative;neutral,NIL,NIL
3,2328,I investigated netbooks and saw the Toshiba NB305-N410BL.,NIL,NIL,NIL,NIL
4,2193,"The other day I had a presentation to do for a seminar at a large conference in town- lots of people, little time to prep and have to set up a computer to a projector, etc.",NIL,NIL,NIL,NIL
5,2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality;GUI;applications;use,positive;positive;positive;positive,high;stable;expandable;good;easy;gorgeous,+1;+1;+1;+1;+1;+1
6,2789,Easy to start up and does not overheat as much as other laptops.,start up,positive,easy,+1
7,425,Sad very SAD.,NIL,NIL,sad,-1
8,76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features;iChat;Photobooth;garage band,positive;positive;positive;positive,more,+1
9,747,Needless to say a PC that can't support a cell phone is less than useless!,NIL,NIL,useless,-1
10,80,Great laptop that offers many great features!,features,positive,great;great,+1;+1
11,796,they have done absolutely nothing to fix the computer problem.,NIL,NIL,NIL,NIL
12,917,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI;screen;power light;hard drive ligh,negative;negative;neutral;negative,no;dark;steady;steady,-1;-1;+1;+1
13,1788,"Still pretty pricey, but I've been putting off money for a while as a little Macbook Fund, and finally got to use it.",NIL,NIL,pricey,-1
14,338,"My only disappointment with the 13"" model is that they're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).",processor;graphics cards;battery life,negative;negative;positive,disappointment;without;longer,-1;-1;+1
15,1630,I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,neutral,NIL,NIL
16,38,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure;edge,positive;negative,soft,+1
17,337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures;tracking area;external mouse;gaming,positive;positive;neutral;neutral,unnecessary,-1
18,1505,Plus it is small and reasonably light so I can take it with me to and from work.,NIL,NIL,small; reasonably light,+1;+1
19,263,I HATE this one.,NIL,NIL,hate,-1
20,1227,They were totally unconcerned that the computer was not correctly repaired in the first place.,NIL,NIL,NIL,NIL
21,1019,Toshiba does not send any one out unless you have paid extra to have the on site repair done.,NIL,NIL,NIL,NIL
22,1158,"Oh, boy!",NIL,NIL,NIL,NIL
23,1168,But while this is one big advantage (as you may know from the company s recent commercials) there are other things to consider before going with Apple.,NIL,NIL,NIL,NIL
24,2568,I love the way the entire suite of software works together.,suite of software,positive,love,+1
25,295,The speed is incredible and I am more than satisfied.,speed,positive,incredible;satisfied,+1;+1
26,951,on the bright side at least I wasn't without my laptop for long this time!,NIL,NIL,NIL,NIL
27,2759,This laptop meets every expectation and Windows 7 is great!,Windows 7,positive,great,+1
28,2055,That's how frustrating it was.,NIL,NIL,frustrating,-1
29,2980,I can barely use any usb devices because they will not stay connected properly.,usb devices,negative,properly,+1
30,2454,"The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.",NIL,NIL,bad,-1
31,1054,"-No backlit keyboard, but not an issue for me.",keyboard,conflict,no,-1
32,743,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software;system,neutral;negative,crashed,-1
33,1155,I can't even turn it off.,NIL,NIL,NIL,NIL
34,2587,"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,negative,NIL,NIL
35,2202,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,positive,pleasure;painless,+1;+1
36,2799,I shopped around before buying.,NIL,NIL,NIL,NIL
37,2227,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor;screen",positive;neutral,added bonus,+1
38,2241,Would do business again.,NIL,NIL,NIL,NIL
39,92,The machine is slow to boot up and occasionally crashes completely.,boot up,negative,slow;crashes,-1;-1
40,1204,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,negative,frustrating,-1
41,2026,I have had the luxury (sarcasm) of owning 2 of these laptops.,NIL,NIL,NIL,NIL
42,535,What a waste.,NIL,NIL,waste,-1
43,478,It was a total Dhell experience that I will never repeat.,NIL,NIL,NIL,NIL
44,1690,There are a few flaws as well that I noticed.,NIL,NIL,NIL,NIL
45,1789,Completely worth every single penny dime and nickel.,NIL,NIL,worth,+1
46,250,I tried to upgrade it to a newer version a couple of months ago and I still have the same problem.,NIL,NIL,NIL,NIL
47,325,"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",battery,conflict,replace;perfect,-1;+1
48,324,:) In the past four years I've had it I have never once gotten a virus.,NIL,NIL,NIL,NIL
49,1574,I love the operating system and the preloaded software.,operating system;preloaded software,positive;positive,love,+1
50,1005,"They were great in handling this problem, and I'm looking forward in purchasing additonal products from them in the future.",NIL,NIL,great,+1
51,989,I've tried going back to XL but there still problems.,NIL,NIL,NIL,NIL
52,3073,The best thing about this laptop is the price along with some of the newer features.,price;features,positive;positive,best;newer,+1;+1
53,1254,"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,negative,NIL,NIL
54,810,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,negative,able,+1
55,1346,But it may be potentially hundreds or thousands in the near future.,NIL,NIL,NIL,NIL
56,2383,Has met or exceeded my needs for a compact travel device.,NIL,NIL,NIL,NIL
57,130,but now i have realized its a problem with this brand.,brand,negative,problem,-1
58,1253,It cannot save the correct date and time I set.,NIL,NIL,NIL,NIL
59,839,I sent it back to Toshiba twice they covered it under the  warranty.,warranty,positive,NIL,NIL
60,1473,And this isn't just my one experine.,NIL,NIL,NIL,NIL
61,782,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,NIL,NIL,NIL,NIL
62,696,I was looking for a mac which is portable and has all the features that I was looking for.,features,positive,NIL,NIL
63,2878,I would highly recommend this one to my friends,NIL,NIL,recommend,+1
64,226,"I honestly love my mac, thats why I am a self proclaimed mac addict.",NIL,NIL,love,+1
65,1652,And these are some reasons you should get a macbook pro.,NIL,NIL,NIL,NIL
66,1030,Also kinda loud when the fan was running.,fan,negative,loud,-1
67,1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number;warranty;talking to a technician,neutral;negative;negative,NIL,NIL
68,2861,I purchased this laptop while on a business trip to keep up with my email.,NIL,NIL,NIL,NIL
69,661,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc;windows;drivers,negative;negative;neutral,problem;able,-1;+1
70,997,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers;BIOS update;system,positive;negative;negative,ok;froze,+1;-1
71,192,-they lost my laptop for a month,NIL,NIL,NIL,NIL
72,463,Spent 2 hours on phone with HP Technical Support.,HP Technical Support,neutral,NIL,NIL
73,2866,"This is my second laptop,and it is head and shoulders above my first.",NIL,NIL,NIL,NIL
74,935,at first!,NIL,NIL,NIL,NIL
75,1193,"Speaking of the browser, it too has problems.",browser,negative,problems,-1
76,2192,I think just going from PC to Mac has gotten me totally spoiled and I can't imagine ever going back.,NIL,NIL,spoiled,-1
77,147,The keyboard is too slick.,keyboard,negative,slick,-1
78,1433,Nightly my computer defrags itself and runs a virus scan.,virus scan,neutral,NIL,NIL
79,1669,"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,negative,great,+1
80,2462,It's just as fast with one program open as it is with sixteen open.,program,neutral,fast,+1
81,2719,"Still under warrenty so called Toshiba, no help at all.",warrenty,negative,no,-1
82,1224,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,negative,happy,+1
83,588,I LOVE IT!,NIL,NIL,love,+1
84,2492,Amazing Quality!,Quality,positive,amazing,+1
85,1541,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam;value,neutral;positive,underscores,-1
86,3060,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet;managing personal files,neutral;neutral,NIL,NIL
87,915,"A month or so ago, the freaking motherboard just died.",motherboard,negative,freaking;died,-1;-1
88,2050,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,negative,properly,+1
89,460,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger;hardware,negative;negative,stopped,-1
90,1954,I took it back to Best Buy where they were so helpful and immediately gave me a new one.,NIL,NIL,helpful,+1
91,1728,"If you had PC for four years I can almost gaurentee that something would of gone wrong by now, maybe even forcing you to replace your entire computer.",NIL,NIL,wrong;replace,-1;-1
92,620,"*2 weeks after giving the computer for repair*-Called headquarters, they report that they have not looked at it yet but it is ""on the top of the stack"".",NIL,NIL,NIL,NIL
93,2423,This machine delivers.,NIL,NIL,NIL,NIL
94,1781,Then 2 of my nephews were going into music and both fell in love with the MacBook Pro.,NIL,NIL,NIL,NIL
95,645,I complain again...,NIL,NIL,NIL,NIL
96,2,This laptop is insane!!!,NIL,NIL,insane,+1
97,1524,"If a website ever freezes (which is rare), its really easy to force quit.",force quit,positive,easy,+1
98,2472,It does run a little warm but that is a negligible concern.,NIL,NIL,NIL,NIL
99,803,It rarely works and when it does it's incredibly slow.,works,negative,slow,-1
100,2225,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7;VMWare program,positive;neutral,enjoy,+1
101,2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system;runs;navigate;find files,positive;positive;positive;positive,easier;faster,+1;+1
102,1365,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,negative,good,+1
103,1555,I always swore by PCs and would never consider a MAC.,NIL,NIL,NIL,NIL
104,2199,"what an elegant, wonderful machine.",NIL,NIL,elegant;wonderful,+1;+1
105,72,This is now my 3rd MacBook Pro and I really honestly love it!,NIL,NIL,love,+1
106,1151,for 2 months.,NIL,NIL,NIL,NIL
107,2033,"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,neutral,refused,-1
108,2113,Do you ever think HP would do that? NEVER!,NIL,NIL,NIL,NIL
109,2271,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory;speed;performace,neutral;positive;positive,increase,+1
110,1307,It's not like I have used for half a year and then complained about it.,NIL,NIL,NIL,NIL
111,2186,Still trying to learn how to use it.,NIL,NIL,NIL,NIL
112,103,"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",opening my Documents folder,negative,quickly;long,+1;-1
113,1875,I bought the netbook because it was smaller and lighter for me to carry around.,NIL,NIL,smaller;lighter,+1;+1
114,1359,The Genius at the Apple store advised me that there was nothing about my use of the computer that caused this failure.,NIL,NIL,NIL,NIL
115,2483,We'll save our money to replace it with a Mac again!,NIL,NIL,NIL,NIL
116,2945,Thank you for your great product!,NIL,NIL,great,+1
117,197,"this company truely does make horrible products and doesnt seem to because they are certain things like this ""never"" happen...",NIL,NIL,horrible,-1
118,1149,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,negative,frustrated;crashing;poorly;intuitive,-1;-1;-1;+1
119,163,"Sorry Toshiba, but 1st impressions do count for something.",NIL,NIL,NIL,NIL
120,900,"Then, within 5 months, the charger crapped out on me.",charger,negative,crapped,-1
121,1649,And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,positive,high,+1
122,2972,Overall this laptop is great.,NIL,NIL,great,+1
123,446,I love the glass touchpad.,glass touchpad,positive,love,+1
124,1912,I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,hard drive;mother board,negative;negative,replaced,-1
125,2752,I am using the external speaker- sound is good.,external speaker;sound,positive;positive,good,+1
126,270,The Apple MC371LL/A 2.4Ghz 15.4-inch MacBook Pro Notebook is a horrible waste of money.,NIL,NIL,horrible,-1
127,2646,"Ok, this is probably the best laptop series ever devised by Apple.",NIL,NIL,best,+1
128,886,"As of a couple weeks ago the middle portion of the laptop from top to bottom,,,about 4 inches across is hardly visible.",NIL,NIL,NIL,NIL
129,2381,"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,negative,better;happy,+1;+1
130,404,"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,negative,screwed up,-1
131,2772,I just hope the reputation that Toshiba has is true and I won't have to worry about a crash.,NIL,NIL,NIL,NIL
132,407,"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,negative,expensive,-1
133,699,I would recommend anyone to buy from pcconnection express.,NIL,NIL,recommend,+1
134,1034,Good luck.,NIL,NIL,NIL,NIL
