Sentence,Sequence,Tags
"['I', 'charge', 'it', 'at', 'night', 'and', 'skip', 'taking', 'the', 'cord', 'with', 'me', 'because', 'of', 'the', 'good', 'battery', 'life']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 3, 1, 2]","[('I', 'PRON', 'PRP', 'nsubj'), ('charge', 'VERB', 'VBP', 'ROOT'), ('it', 'PRON', 'PRP', 'dobj'), ('at', 'ADP', 'IN', 'prep'), ('night', 'NOUN', 'NN', 'pobj'), ('and', 'CCONJ', 'CC', 'cc'), ('skip', 'VERB', 'VB', 'conj'), ('taking', 'VERB', 'VBG', 'xcomp'), ('the', 'DET', 'DT', 'det'), ('cord', 'NOUN', 'NN', 'dobj'), ('with', 'ADP', 'IN', 'prep'), ('me', 'PRON', 'PRP', 'pobj'), ('because', 'ADP', 'IN', 'prep'), ('of', 'ADP', 'IN', 'pcomp'), ('the', 'DET', 'DT', 'det'), ('good', 'ADJ', 'JJ', 'amod'), ('battery', 'NOUN', 'NN', 'compound'), ('life', 'NOUN', 'NN', 'pobj')]"
"['I', 'bought', 'a', 'HP', 'Pavilion', 'DV41222nr', 'laptop', 'and', 'have', 'had', 'so', 'many', 'problems', 'with', 'the', 'computer']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[('I', 'PRON', 'PRP', 'nsubj'), ('bought', 'VERB', 'VBD', 'ROOT'), ('a', 'DET', 'DT', 'det'), ('HP', 'PROPN', 'NNP', 'compound'), ('Pavilion', 'PROPN', 'NNP', 'compound'), ('DV41222nr', 'PROPN', 'NNP', 'compound'), ('laptop', 'NOUN', 'NN', 'dobj'), ('and', 'CCONJ', 'CC', 'cc'), ('have', 'VERB', 'VBP', 'aux'), ('had', 'VERB', 'VBN', 'conj'), ('so', 'ADV', 'RB', 'advmod'), ('many', 'ADJ', 'JJ', 'amod'), ('problems', 'NOUN', 'NNS', 'dobj'), ('with', 'ADP', 'IN', 'prep'), ('the', 'DET', 'DT', 'det'), ('computer', 'NOUN', 'NN', 'pobj')]"
"['The', 'tech', 'guy', 'then', 'said', 'the', 'service', 'center', 'does', 'not', 'do', '1to1', 'exchange', 'and', 'I', 'have', 'to', 'direct', 'my', 'concern', 'to', 'the', 'sales', 'team', 'which', 'is', 'the', 'retail', 'shop', 'which', 'I', 'bought', 'my', 'netbook', 'from']","[5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[('The', 'DET', 'DT', 'det'), ('tech', 'NOUN', 'NN', 'compound'), ('guy', 'NOUN', 'NN', 'nsubj'), ('then', 'ADV', 'RB', 'advmod'), ('said', 'VERB', 'VBD', 'ROOT'), ('the', 'DET', 'DT', 'det'), ('service', 'NOUN', 'NN', 'compound'), ('center', 'NOUN', 'NN', 'nsubj'), ('does', 'VERB', 'VBZ', 'aux'), ('not', 'ADV', 'RB', 'neg'), ('do', 'VERB', 'VB', 'ccomp'), ('1to1', 'NUM', 'CD', 'compound'), ('exchange', 'NOUN', 'NN', 'dobj'), ('and', 'CCONJ', 'CC', 'cc'), ('I', 'PRON', 'PRP', 'nsubj'), ('have', 'VERB', 'VBP', 'ROOT'), ('to', 'PART', 'TO', 'aux'), ('direct', 'VERB', 'VB', 'xcomp'), ('my', 'ADJ', 'PRP$', 'poss'), ('concern', 'NOUN', 'NN', 'dobj'), ('to', 'ADP', 'IN', 'prep'), ('the', 'DET', 'DT', 'det'), ('sales', 'NOUN', 'NNS', 'compound'), ('team', 'NOUN', 'NN', 'pobj'), ('which', 'ADJ', 'WDT', 'nsubj'), ('is', 'VERB', 'VBZ', 'relcl'), ('the', 'DET', 'DT', 'det'), ('retail', 'ADJ', 'JJ', 'amod'), ('shop', 'NOUN', 'NN', 'attr'), ('which', 'ADJ', 'WDT', 'pobj'), ('I', 'PRON', 'PRP', 'nsubj'), ('bought', 'VERB', 'VBD', 'relcl'), ('my', 'ADJ', 'PRP$', 'poss'), ('netbook', 'NOUN', 'NN', 'dobj'), ('from', 'ADP', 'IN', 'prep')]"
"['I', 'investigated', 'netbooks', 'and', 'saw', 'the', 'Toshiba', 'NB305N410BL']","[5, 5, 5, 5, 5, 5, 5, 5]","[('I', 'PRON', 'PRP', 'nsubj'), ('investigated', 'VERB', 'VBD', 'ROOT'), ('netbooks', 'NOUN', 'NNS', 'dobj'), ('and', 'CCONJ', 'CC', 'cc'), ('saw', 'VERB', 'VBD', 'conj'), ('the', 'DET', 'DT', 'det'), ('Toshiba', 'PROPN', 'NNP', 'dobj'), ('NB305N410BL', 'PROPN', 'NNP', 'advmod')]"
"['The', 'other', 'day', 'I', 'had', 'a', 'presentation', 'to', 'do', 'for', 'a', 'seminar', 'at', 'a', 'large', 'conference', 'in', 'town', 'lots', 'of', 'people', 'little', 'time', 'to', 'prep', 'and', 'have', 'to', 'set', 'up', 'a', 'computer', 'to', 'a', 'projector', 'etc']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[('The', 'DET', 'DT', 'det'), ('other', 'ADJ', 'JJ', 'amod'), ('day', 'NOUN', 'NN', 'npadvmod'), ('I', 'PRON', 'PRP', 'nsubj'), ('had', 'VERB', 'VBD', 'ROOT'), ('a', 'DET', 'DT', 'det'), ('presentation', 'NOUN', 'NN', 'dobj'), ('to', 'PART', 'TO', 'aux'), ('do', 'VERB', 'VB', 'acl'), ('for', 'ADP', 'IN', 'prep'), ('a', 'DET', 'DT', 'det'), ('seminar', 'NOUN', 'NN', 'pobj'), ('at', 'ADP', 'IN', 'prep'), ('a', 'DET', 'DT', 'det'), ('large', 'ADJ', 'JJ', 'amod'), ('conference', 'NOUN', 'NN', 'pobj'), ('in', 'ADP', 'IN', 'prep'), ('town', 'NOUN', 'NN', 'compound'), ('lots', 'NOUN', 'NNS', 'pobj'), ('of', 'ADP', 'IN', 'prep'), ('people', 'NOUN', 'NNS', 'pobj'), ('little', 'ADJ', 'JJ', 'amod'), ('time', 'NOUN', 'NN', 'npadvmod'), ('to', 'PART', 'TO', 'aux'), ('prep', 'VERB', 'VB', 'relcl'), ('and', 'CCONJ', 'CC', 'cc'), ('have', 'VERB', 'VB', 'conj'), ('to', 'PART', 'TO', 'aux'), ('set', 'VERB', 'VB', 'xcomp'), ('up', 'PART', 'RP', 'prt'), ('a', 'DET', 'DT', 'det'), ('computer', 'NOUN', 'NN', 'dobj'), ('to', 'ADP', 'IN', 'prep'), ('a', 'DET', 'DT', 'det'), ('projector', 'NOUN', 'NN', 'pobj'), ('etc', 'X', 'FW', 'dobj')]"
"['it', 'is', 'of', 'high', 'quality', 'has', 'a', 'killer', 'GUI', 'is', 'extremely', 'stable', 'is', 'highly', 'expandable', 'is', 'bundled', 'with', 'lots', 'of', 'very', 'good', 'applications', 'is', 'easy', 'to', 'use', 'and', 'is', 'absolutely', 'gorgeous']","[5, 5, 5, 3, 1, 5, 5, 5, 1, 5, 5, 3, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 1, 5, 3, 5, 1, 5, 5, 5, 3]","[('it', 'PRON', 'PRP', 'nsubj'), ('is', 'VERB', 'VBZ', 'ccomp'), ('of', 'ADP', 'IN', 'prep'), ('high', 'ADJ', 'JJ', 'amod'), ('quality', 'NOUN', 'NN', 'pobj'), ('has', 'VERB', 'VBZ', 'conj'), ('a', 'DET', 'DT', 'det'), ('killer', 'NOUN', 'NN', 'compound'), ('GUI', 'PROPN', 'NNP', 'nsubj'), ('is', 'VERB', 'VBZ', 'conj'), ('extremely', 'ADV', 'RB', 'advmod'), ('stable', 'ADJ', 'JJ', 'acomp'), ('is', 'VERB', 'VBZ', 'punct'), ('highly', 'ADV', 'RB', 'advmod'), ('expandable', 'ADJ', 'JJ', 'acomp'), ('is', 'VERB', 'VBZ', 'auxpass'), ('bundled', 'VERB', 'VBN', 'ROOT'), ('with', 'ADP', 'IN', 'prep'), ('lots', 'NOUN', 'NNS', 'pobj'), ('of', 'ADP', 'IN', 'prep'), ('very', 'ADV', 'RB', 'advmod'), ('good', 'ADJ', 'JJ', 'amod'), ('applications', 'NOUN', 'NNS', 'pobj'), ('is', 'VERB', 'VBZ', 'conj'), ('easy', 'ADJ', 'JJ', 'acomp'), ('to', 'PART', 'TO', 'aux'), ('use', 'VERB', 'VB', 'xcomp'), ('and', 'CCONJ', 'CC', 'cc'), ('is', 'VERB', 'VBZ', 'conj'), ('absolutely', 'ADV', 'RB', 'advmod'), ('gorgeous', 'ADJ', 'JJ', 'acomp')]"
"['Easy', 'to', 'start', 'up', 'and', 'does', 'not', 'overheat', 'as', 'much', 'as', 'other', 'laptops']","[5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[('Easy', 'ADJ', 'JJ', 'ROOT'), ('to', 'PART', 'TO', 'aux'), ('start', 'VERB', 'VB', 'xcomp'), ('up', 'PART', 'RP', 'prt'), ('and', 'CCONJ', 'CC', 'cc'), ('does', 'VERB', 'VBZ', 'aux'), ('not', 'ADV', 'RB', 'neg'), ('overheat', 'VERB', 'VB', 'conj'), ('as', 'ADV', 'RB', 'advmod'), ('much', 'ADJ', 'JJ', 'advmod'), ('as', 'ADP', 'IN', 'prep'), ('other', 'ADJ', 'JJ', 'amod'), ('laptops', 'NOUN', 'NNS', 'pobj')]"
"['Sad', 'very', 'SAD']","[5, 5, 5]","[('Sad', 'ADJ', 'JJ', 'amod'), ('very', 'ADV', 'RB', 'advmod'), ('SAD', 'PROPN', 'NNP', 'ROOT')]"
"['I', 'even', 'got', 'my', 'teenage', 'son', 'one', 'because', 'of', 'the', 'features', 'that', 'it', 'offers', 'like', 'iChat', 'Photobooth', 'garage', 'band', 'and', 'more']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 1, 1, 1, 2, 5, 3]","[('I', 'PRON', 'PRP', 'nsubj'), ('even', 'ADV', 'RB', 'advmod'), ('got', 'VERB', 'VBD', 'ROOT'), ('my', 'ADJ', 'PRP$', 'poss'), ('teenage', 'ADJ', 'JJ', 'amod'), ('son', 'NOUN', 'NN', 'dobj'), ('one', 'NUM', 'CD', 'appos'), ('because', 'ADP', 'IN', 'prep'), ('of', 'ADP', 'IN', 'pcomp'), ('the', 'DET', 'DT', 'det'), ('features', 'NOUN', 'NNS', 'pobj'), ('that', 'ADJ', 'WDT', 'dobj'), ('it', 'PRON', 'PRP', 'nsubj'), ('offers', 'VERB', 'VBZ', 'relcl'), ('like', 'ADP', 'IN', 'prep'), ('iChat', 'PROPN', 'NNP', 'det'), ('Photobooth', 'ADJ', 'JJ', 'amod'), ('garage', 'NOUN', 'NN', 'compound'), ('band', 'NOUN', 'NN', 'pobj'), ('and', 'CCONJ', 'CC', 'cc'), ('more', 'ADJ', 'JJR', 'conj')]"
"['Needless', 'to', 'say', 'a', 'PC', 'that', 'cant', 'support', 'a', 'cell', 'phone', 'is', 'less', 'than', 'useless']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3]","[('Needless', 'ADJ', 'JJ', 'nsubj'), ('to', 'PART', 'TO', 'aux'), ('say', 'VERB', 'VB', 'xcomp'), ('a', 'DET', 'DT', 'det'), ('PC', 'NOUN', 'NN', 'dobj'), ('that', 'ADJ', 'WDT', 'nsubj'), ('ca', 'VERB', 'MD', 'aux'), ('nt', 'ADV', 'RB', 'advmod'), ('support', 'VERB', 'VB', 'relcl'), ('a', 'DET', 'DT', 'det'), ('cell', 'NOUN', 'NN', 'compound'), ('phone', 'NOUN', 'NN', 'dobj'), ('is', 'VERB', 'VBZ', 'ROOT'), ('less', 'ADJ', 'JJR', 'acomp'), ('than', 'ADP', 'IN', 'prep'), ('useless', 'ADJ', 'JJ', 'amod')]"
