Sentence,Sequence
"['I', 'charge', 'it', 'at', 'night', 'and', 'skip', 'taking', 'the', 'cord', 'with', 'me', 'because', 'of', 'the', 'good', 'battery', 'life']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 3, 1, 2]"
"['I', 'bought', 'a', 'HP', 'Pavilion', 'DV41222nr', 'laptop', 'and', 'have', 'had', 'so', 'many', 'problems', 'with', 'the', 'computer']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['The', 'tech', 'guy', 'then', 'said', 'the', 'service', 'center', 'does', 'not', 'do', '1to1', 'exchange', 'and', 'I', 'have', 'to', 'direct', 'my', 'concern', 'to', 'the', 'sales', 'team', 'which', 'is', 'the', 'retail', 'shop', 'which', 'I', 'bought', 'my', 'netbook', 'from']","[5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['I', 'investigated', 'netbooks', 'and', 'saw', 'the', 'Toshiba', 'NB305N410BL']","[5, 5, 5, 5, 5, 5, 5, 5]"
"['The', 'other', 'day', 'I', 'had', 'a', 'presentation', 'to', 'do', 'for', 'a', 'seminar', 'at', 'a', 'large', 'conference', 'in', 'town', 'lots', 'of', 'people', 'little', 'time', 'to', 'prep', 'and', 'have', 'to', 'set', 'up', 'a', 'computer', 'to', 'a', 'projector', 'etc']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['it', 'is', 'of', 'high', 'quality', 'has', 'a', 'killer', 'GUI', 'is', 'extremely', 'stable', 'is', 'highly', 'expandable', 'is', 'bundled', 'with', 'lots', 'of', 'very', 'good', 'applications', 'is', 'easy', 'to', 'use', 'and', 'is', 'absolutely', 'gorgeous']","[5, 5, 5, 3, 1, 5, 5, 5, 1, 5, 5, 3, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 1, 5, 3, 5, 1, 5, 5, 5, 3]"
"['Easy', 'to', 'start', 'up', 'and', 'does', 'not', 'overheat', 'as', 'much', 'as', 'other', 'laptops']","[5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['Sad', 'very', 'SAD']","[5, 5, 5]"
"['I', 'even', 'got', 'my', 'teenage', 'son', 'one', 'because', 'of', 'the', 'features', 'that', 'it', 'offers', 'like', 'iChat', 'Photobooth', 'garage', 'band', 'and', 'more']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 1, 1, 1, 2, 5, 3]"
"['Needless', 'to', 'say', 'a', 'PC', 'that', 'cant', 'support', 'a', 'cell', 'phone', 'is', 'less', 'than', 'useless']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3]"
"['Great', 'laptop', 'that', 'offers', 'many', 'great', 'features']","[5, 5, 5, 5, 5, 3, 1]"
"['they', 'have', 'done', 'absolutely', 'nothing', 'to', 'fix', 'the', 'computer', 'problem']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
