Sentence,Sequence
"['i', 'charge', 'it', 'at', 'night', 'and', 'skip', 'taking', 'the', 'cord', 'with', 'me', 'because', 'of', 'the', 'good', 'battery', 'life', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 3, 1, 2, 5]"
"['i', 'bought', 'a', 'hp', 'pavilion', 'dv4', ' <HYPHEN> ', '1222nr', 'laptop', 'and', 'have', 'had', 'so', 'many', 'problems', 'with', 'the', 'computer', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'tech', 'guy', 'then', 'said', 'the', 'service', 'center', 'does', 'not', 'do', '1-to-1', 'exchange', 'and', 'i', 'have', 'to', 'direct', 'my', 'concern', 'to', 'the', ' <QUOTATION_MARK> ', 'sales', ' <QUOTATION_MARK> ', 'team', ' <COMMA> ', 'which', 'is', 'the', 'retail', 'shop', 'which', 'i', 'bought', 'my', 'netbook', 'from', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'investigated', 'netbooks', 'and', 'saw', 'the', 'toshiba', 'nb305-n410bl', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'other', 'day', 'i', 'had', 'a', 'presentation', 'to', 'do', 'for', 'a', 'seminar', 'at', 'a', 'large', 'conference', 'in', 'town-', 'lots', 'of', 'people', ' <COMMA> ', 'little', 'time', 'to', 'prep', 'and', 'have', 'to', 'set', 'up', 'a', 'computer', 'to', 'a', 'projector', ' <COMMA> ', 'etc', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['it', 'is', 'of', 'high', 'quality', ' <COMMA> ', 'has', 'a', 'killer', 'gui', ' <COMMA> ', 'is', 'extremely', 'stable', ' <COMMA> ', 'is', 'highly', 'expandable', ' <COMMA> ', 'is', 'bundled', 'with', 'lots', 'of', 'very', 'good', 'applications', ' <COMMA> ', 'is', 'easy', 'to', 'use', ' <COMMA> ', 'and', 'is', 'absolutely', 'gorgeous', ' <PERIOD> ']","[5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5]"
"['easy', 'to', 'start', 'up', 'and', 'does', 'not', 'overheat', 'as', 'much', 'as', 'other', 'laptops', ' <PERIOD> ']","[3, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['sad', 'very', 'sad', ' <PERIOD> ']","[3, 5, 5, 5]"
"['i', 'even', 'got', 'my', 'teenage', 'son', 'one', ' <COMMA> ', 'because', 'of', 'the', 'features', 'that', 'it', 'offers', ' <COMMA> ', 'like', ' <COMMA> ', 'ichat', ' <COMMA> ', 'photobooth', ' <COMMA> ', 'garage', 'band', 'and', 'more', ' <EXCLAMATION_MARK> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
"['needless', 'to', 'say', 'a', 'pc', 'that', 'ca', ""n't"", 'support', 'a', 'cell', 'phone', 'is', 'less', 'than', 'useless', ' <EXCLAMATION_MARK> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
"['great', 'laptop', 'that', 'offers', 'many', 'great', 'features', ' <EXCLAMATION_MARK> ']","[3, 5, 5, 5, 5, 3, 1, 5]"
"['they', 'have', 'done', 'absolutely', 'nothing', 'to', 'fix', 'the', 'computer', 'problem', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['one', 'night', 'i', 'turned', 'the', 'freaking', 'thing', 'off', 'after', 'using', 'it', ' <COMMA> ', 'the', 'next', 'day', 'i', 'turn', 'it', 'on', ' <COMMA> ', 'no', 'gui', ' <COMMA> ', 'screen', 'all', 'dark', ' <COMMA> ', 'power', 'light', 'steady', ' <COMMA> ', 'hard', 'drive', 'light', 'steady', 'and', 'not', 'flashing', 'as', 'it', 'usually', 'does', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5]"
"['still', 'pretty', 'pricey', ' <COMMA> ', 'but', 'i', ""'ve"", 'been', 'putting', 'off', 'money', 'for', 'a', 'while', 'as', 'a', 'little', 'macbook', 'fund', ' <COMMA> ', 'and', 'finally', 'got', 'to', 'use', 'it', ' <PERIOD> ']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
